"title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Software UART: A Use Case for VSCPU Worst-Case Execution Time Analyzer","A. Yıldız; D. İskender; G. Özlü; H. F. Ugurdag; B. Aktemur; S. Gören","Dept. of Computer Engineering, Yeditepe University, Istanbul, Turkey; Dept. of Computer Engineering, Özyeğin University, Istanbul, Turkey; Dept. of Computer Engineering, Yeditepe University, Istanbul, Turkey; Dept. of Electrical and Electronics Engineering, Özyeğin University, Istanbul, Turkey; Dept. of Computer Engineering, Özyeğin University, Istanbul, Turkey; Dept. of Computer Engineering, Yeditepe University, Istanbul, Turkey",2019 4th International Conference on Computer Science and Engineering (UBMK),"21 Nov 2019","2019","","","504","509","This paper presents our early results of the development of a Worst-Case Execution Time (WCET) analyzer for VSCPU by implementing a software UART system. Our WCET analyzer takes a C program as input and gives the time taken by each function as output. A software UART system eliminates the need to employ a dedicated hardware for RS232 interface and makes directly use of the processor instead. For this purpose, we designed and implemented a memory-mapped system which has access to UART pins and is capable of setting and sampling these pins from software by a method of bit banging. We used the output of our WCET analyzer to approximate the actual bit times for a specific UART baud rate. By successfully testing and verifying our software UART, we showed that our WCET analyzer could be used to estimate runtime of tasks in an application. Although development of the WCET analyzer is ongoing, the results are promising,","","978-1-7281-3964-7","10.1109/UBMK.2019.8907220","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8907220","WCET;UART;CPU;bit banging;FPGA;proces-sor","Accuracy;Runtime;Software algorithms;Writing;Software;Time measurement;Pins;High level languages;Testing;Python","","1","","9","IEEE","21 Nov 2019","11-15 Sept. 2019","11-15 Sept. 2019","IEEE","IEEE Conferences"
"Combining Automated Measurement-Based Cost Modeling With Static Worst-Case Execution-Time and Energy-Consumption Analyses","V. Sieh; R. Burlacu; T. Hönig; H. Janker; P. Raffeck; P. Wägemann; W. Schröder-Preikschat","Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Mathematics (Economics, Discrete Optimization, and Mathematics), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science (Distributed Systems and Operating Systems), Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",IEEE Embedded Systems Letters,"27 May 2019","2019","11","2","38","41","Predicting the temporal behavior of embedded realtime systems is a crucial but challenging task, as it is with the energetic behavior of energy-constrained systems, such as IoT devices. To carry out static analyses in order to determine the worst-case execution time or the worst-case energy consumption of tasks, cost models are inevitable. However, these models are rarely available on a fine-grained level for commercial-off-theshelf hardware platforms. In this letter, we present NEO, an end-to-end toolchain that automatically generates cost models, which are then integrated into an existing static-analysis tool. NEO exploits automatically generated benchmark programs, which are measured on the target platform and investigated in a virtual machine. Based on the gathered data, we formulate mathematical optimization problems that eventually yield both worst-case execution-time and energy-consumption cost models. In our evaluations with an embedded hardware platform (e.g., ARM Cortex-M0+), we show that the open-source toolchain is able to precisely bound programs' resources while achieving acceptable accuracy.","1943-0671","","10.1109/LES.2018.2868823","Deutsche Forschungsgemeinschaft; SCHR Research(grant numbers:SCHR 603/9-2,SCHR 603/13-1); Project C1(grant numbers:CRC/TRR 89); Project B07(grant numbers:CRC/TRR154); Bavarian Ministry of State for Economics(grant numbers:0704/883 25); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8454430","Energy-consumption modeling;execution-time modeling;static analysis;worst-case energy consumption (WCEC);worst-case execution time (WCET)","Benchmark testing;Analytical models;Mathematical model;Time measurement;Energy consumption;Energy measurement;Tools","","1","","20","IEEE","4 Sep 2018","June 2019","","IEEE","IEEE Journals"
"Data logging of processed real time signal by Bluetooth and user friendly GUI in Java platform","B. K. Rao; S. M. Gowda","Department of Electronics and Communication Engineering, MITE, Moodabidri; Department of Electronics and Communication Engineering, YIT, Moodabidri","2017 2nd IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","15 Jan 2018","2017","","","1422","1426","Each and every aspect of the modern society is affected by the technology. From extensive usage of electronic health records towards advances in engineering and technology, modern healthcare and its delivery methods are varying at an ever growing rate. A Java based real-time data access and monitoring system using Bluetooth module can be helpful for continuous monitoring of patients to keep healthy environment. Along with the record maintenance, it can also serve as a remote monitor for chronic diseases. This proposal can act as a user interface to update data and can serve as backend program. In the front end side, processed real time data/signals communicated with microcontroller can be received successfully via Bluetooth technology [7] to the Bluetooth transceiver. Java program will access the data and store it for analysis whenever needed using GUI. In hospitals, health records of the patients are being kept in database which can be accessed from anywhere in the amenity. This not only saves time but it also results in a better coordination and management of the data. The extensive use of technology in maintaining health records digitally has resulted in major savings in costs, as well as improved patients physical condition and safety. It is used to create an application for monitoring certain parameters such as temperature, sound intensity, bio-medical signals, pressure, humidity and more.","","978-1-5090-3704-9","10.1109/RTEICT.2017.8256832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8256832","PIC microcontroller;Bluetooth;Real time signal;Audio codec board;Data logging database;JAVA;API;GUI","Bluetooth;Java;Real-time systems;Graphical user interfaces;Microcontrollers;Databases;Codecs","","1","","10","IEEE","15 Jan 2018","19-20 May 2017","19-20 May 2017","IEEE","IEEE Conferences"
"Real-Time Prototyping of Matlab-Java Code Integration for Water Sensor Networks Applications","S. Roubakis; G. Tzagkarakis; P. Tsakalides","Institute of Computer Science FORTH Heraklion, Greece; Institute of Computer Science FORTH Heraklion, Greece; Computer Science Department University of Crete, Institute of Computer Science FORTH, Heraklion, Greece",2019 27th European Signal Processing Conference (EUSIPCO),"18 Nov 2019","2019","","","1","5","Industrial applications typically necessitate the interaction of heterogeneous software components, which makes the design of an integrated system a demanding task. Specifically, although Matlab® and Java are among the most commonly used programming languages in industrial practice, with each one offering its own advantages, however, their integration for realtime code prototyping is not straightforward. Motivated by this problem, this work proposes an efficient method based on the use of sockets to integrate Matlab and Java code for designing a data processing platform tailored to smart water sensor networks scenarios. The performance of the proposed approach is evaluated on two distinct tasks, namely, the recovery of missing values and the temporal super-resolution from streaming data. Experimental evaluation with real pressure data reveals the superiority of our methodology, in terms of reduced execution times, when compared against two well-established alternatives, namely, the use of standalone applications using input-output files for executing Matlab code in Java-based environments and socket-based solutions implemented directly in a Matlab environment.","2076-1465","978-9-0827-9703-9","10.23919/EUSIPCO.2019.8902633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8902633","Matlab-Java code integration;client-server model;real-time prototyping;water sensor networks","Matlab;Java;Servers;Sockets;Real-time systems;Software","","1","","10","","18 Nov 2019","2-6 Sept. 2019","2-6 Sept. 2019","IEEE","IEEE Conferences"
"Towards Model Checking Security of Real Time Java Software","L. Spalazzi; F. Spegni; G. Liva; M. Pinzger","Universita Politecnica delle Marche, Ancona, Marche, IT; Universita Politecnica delle Marche, Ancona, Marche, IT; Software Eng. Res. Group, Alpen Adria Univ., Klagenfurt, Austria; Software Eng. Res. Group, Alpen Adria Univ., Klagenfurt, Austria",2018 International Conference on High Performance Computing & Simulation (HPCS),"1 Nov 2018","2018","","","642","649","More and more software libraries and applications in high-performance computing and distributed systems are coded using the Java programming language. The correctness of such pieces of code w.r.t. a given set of security policies often depends on the correct handling of timing between concurrent or recurrent events. Model-checking has proven to be an effective tool for verifying the correctness of software. In spite of the growing importance of this application area of formal methods, though, no approach exists that targets the problem of verifying the correctness of real-time software w.r.t. timed specifications. The few existing works focus on very different problems, such as schedulability analysis of Java tasks. In this paper we present an approach combining rule-based static analysis together with symbolic execution of Java code to extract networks of timed automata from existing software and then use Uppaal to model-check them against timed specifications. We show through a real-world case study that this approach can be helpful in model-checking security policies of real-time Java software.","","978-1-5386-7879-4","10.1109/HPCS.2018.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514411","","Java;Software;Security;Real-time systems;Automata;Protocols;Computational modeling","","5","","","IEEE","1 Nov 2018","16-20 July 2018","16-20 July 2018","IEEE","IEEE Conferences"
"Remote Node Battery Monitoring and Diagnostic System for Wireless Sensor Networks using Xbee and Java","R. K. Dhammi; K. M. Soni; S. Selvam; P. Singh","Amity University Uttar Pradesh, Noida, India; Amity University Uttar Pradesh, Noida, India; National Power Training Institute, New Delhi, India; Delhi Institute of Tool Engineering, New Delhi, India","2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","1 Jul 2019","2018","","","351","356","The objective of this paper is to demonstrate how a system consisting of software written in Java and Xbee radios can be used to create a system that can monitor the battery status of a remote node in real time. The common battery related problems faced by wireless sensor networks are discussed in this paper. Through this paper, we have demonstrated how we can monitor the battery status, and remotely diagnose battery related problems in the wireless sensor network. The software also features a GUI which allows the user to read the battery status of wireless sensor networks and change the polling rate of the remote node. The information about the status of the battery of the wireless sensor network can also be visualized in real time.","","978-1-5386-4692-2","10.1109/ICRITO.2018.8748562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748562","Java;Wireless Sensor Networks;Xbee Radios;Remote Sensing;Remote Diagnostics","Batteries;Wireless sensor networks;Software;Real-time systems;Java;Graphical user interfaces;Monitoring","","2","","15","IEEE","1 Jul 2019","29-31 Aug. 2018","29-31 Aug. 2018","IEEE","IEEE Conferences"
"A Python Based Testbed for Real-Time Testing and Visualization using TI's 77 GHz Automotive Radars","O. Toker; B. Kuhn","Dept. of Electrical and Computer Engineering, Florida Polytechnic University, Lakeland, FL; Dept. of Electrical and Computer Engineering, Florida Polytechnic University, Lakeland, FL",2019 IEEE Vehicular Networking Conference (VNC),"13 Apr 2020","2019","","","1","4","In the paper, we introduce a Python based software library and a testbed based for TI's 77 GHz automotive radars using the FPGA based hi-speed ethernet link. The main design objective is to be able to test high level algorithms in real-time, show live results with minimal effort, avoid using low speed serial ports, and build the whole system on FPGA based hi-speed communication. All of these are possible using TI's C/C++ toolchain, but may require much more effort, especially for testing high DSP level algorithms. This is true even if all advanced MATLAB and Python DSP libraries are made available in TI's framework. To be able to test different high level algorithms with less effort, TI is providing a closed source Windows application to record raw ADC data for offline analysis in MATLAB. This setup requires a companion Lattice FPGA board, DCA1000, which sends raw ADC data from all receive antennas as UDP packets. However, this setup is useful only for offline analysis. That's why we have implemented a Python based software library and a testbed for real-time testing and visualization using this raw ADC data. Implemented library does all UDP processing, parsing, and returns numpy arrays representing raw ADC data for each receive antenna. A couple of code samples, including a real-time direction of arrival estimation program, are presented to demonstrate the simplicity and usefulness of the developed system.","2157-9865","978-1-7281-4571-6","10.1109/VNC48660.2019.9062830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9062830","Automotive radars;Real-time testing and Visualization;Python","Chirp;Radar;Automotive engineering;Real-time systems;Field programmable gate arrays;Python;Receiving antennas","","9","","9","IEEE","13 Apr 2020","4-6 Dec. 2019","4-6 Dec. 2019","IEEE","IEEE Conferences"
"Improving the Testing of Java Garbage Collection Through an Efficient Benchmark Generation","A. O. Portillo-Dominguez; V. Ayala-Rivera","Lero@UCD, University College Dublin, Dublin 4, Belfield, Ireland; Lero@UCD, University College Dublin, Dublin 4, Belfield, Ireland",2018 6th International Conference in Software Engineering Research and Innovation (CONISOFT),"21 Feb 2019","2018","","","1","10","Garbage Collection (GC) is a core feature of multiple modern technologies (e.g., Java, Android). On one hand, it offers significant software engineering benefits over explicitly memory management, like preventing most types of memory leaks. On the other hand, GC is a known cause of performance degradation. However, it is considerably challenging to understand its exact impact on the overall application performance. This is because the non-deterministic nature of GC makes very complex to properly model it and evaluate its performance impacts. To help tackling these problems, we present an engine to generate realistic GC benchmarks by enabling to effectively capture the GC/memory behaviours experienced by real-world Java applications. We also demonstrate, through a comprehensive experimental evaluation, how such benchmarks can be useful to strengthen the evaluation of GC-related advancements.","","978-1-5386-6577-0","10.1109/CONISOFT.2018.8645889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8645889","Software Testing;Object-Oriented Systems;Java;Garbage Collection;Benchmark Generation;Performance","Benchmark testing;Java;Monitoring;Engines;Memory management;Throughput;Servers","","","","27","IEEE","21 Feb 2019","24-26 Oct. 2018","24-26 Oct. 2018","IEEE","IEEE Conferences"
"Design of a Real-Time Interpreter for Arabic Sign Language","T. Jamil","Department of Electrical and Computer Engineering, Sultan Qaboos University, AlKhod, Muscat, Oman",SoutheastCon 2018,"4 Oct 2018","2018","","","1","3","Sign Language is the main communication method used by the deaf, mute, and hard of hearing individuals. It utilizes hand gestures, movement and orientation of fingers, arms, or body, and facial gestures to convey speaker's ideas. Although known since the 5th century BC, sign language is not standardized internationally and each country generally has its own native sign language. Arabic is a widely spoken language in the Middle Eastern region and has its own versions of sign language. In this paper, design of a glove-based real-time interpreter for Arabic sign language has been presented, which can translate hand-gestures of Arabic alphabets into text displayed on a dot matrix screen.","1558-058X","978-1-5386-6133-8","10.1109/SECON.2018.8479201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8479201","Arabic;sign language;interpreter;real-time","Oils","","2","","12","IEEE","4 Oct 2018","19-22 April 2018","19-22 April 2018","IEEE","IEEE Conferences"
"Javolution-Solution for Real Time Embedded System","R. P. Sonar; R. S. Lande","Department of Computer Science & Engineering, Prof Ram Meghe College of Engineering & Management, Amravati; Department of Computer Science & Engineering, Prof Ram Meghe College of Engineering & Management, Amravati",2018 International Conference on Research in Intelligent and Computing in Engineering (RICE),"25 Oct 2018","2018","","","1","10","Embedded systems are highly used in every field. Embedded system often required to provide Real-Time response. As embedded systems become more and more complex, and the time to market becomes shorter; there is a need in the embedded systems community to find better programming languages that let the programmers develop correct code faster: The programming languages used today typically C and/or Assemblers-are just too error-prone. The Java technology has therefore gained a lot of interest from developers of embedded systems in the last few years [1]. To use Java in Real-Time/Safety-Critical systems calls for significantly green predictable code execution. Techniques to achieve this include Ahead-Of-Time compilation, incremental Garbage Collection and the use of RTSJ-compliant Virtual Machine. However those are not enough as time-predictability can without trouble be ruined through using the same antique library (lazy initialization, array resizing, and so forth.). To reap actual time predictability one should have a time deterministic library. This paper introduces such open deliver library known as Javolution suitable for embedded or server-aspect applications and used for safety important application global [2]. This paper also presents an overview of the most recent and important studies in the area of real-time Java computing. We will study and analysis of Java variations for Real-Time systems.","","978-1-5386-2599-6","10.1109/RICE.2018.8509074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509074","Embedded Systems;Real-Time Operating Systems;Real-Time Java;JIT Compiler;RTSJ","Task analysis;Real-time systems;Embedded systems;Hardware;Multitasking","","","","25","IEEE","25 Oct 2018","22-24 Aug. 2018","22-24 Aug. 2018","IEEE","IEEE Conferences"
