"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Java in real-time applications","E. Bertolissi; C. Preece","School of Engineering, University of Durham, Durham, UK; School of Engineering, University of Durham, Durham, UK",IEEE Transactions on Nuclear Science,"6 Aug 2002","1998","45","4","1965","1972","This paper addresses the use of the Java programming language for real-time applications, giving an overview of its main advantages and current limitations. Java can implement at language level several of the constructs defined by the POSIX1.b standard for real-time applications. However, if Java is to realise its potential in this field, appropriate additions to the language will need to be made, and further work will be necessary.","1558-1578","","10.1109/23.710972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=710972","","Java;Application software;Computer languages;Real time systems;Sun;Robustness;Consumer electronics;Virtual machining;Computer peripherals;HTML","","15","4","21","IEEE","6 Aug 2002","Aug. 1998","","IEEE","IEEE Journals"
"Hardware Support for Safety-Critical Java Scope Checks","J. R. Rios; M. Schoeberl","Department of Informatics and Mathematical Modeling, Technical University of Denmark, Lyngby, Denmark; Department of Informatics and Mathematical Modeling, Technical University of Denmark, Lyngby, Denmark",2012 IEEE 15th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"7 May 2012","2012","","","31","38","Memory management in Safety-Critical Java (SCJ) is based on time bounded, non garbage collected scoped memory regions used to store temporary objects. Scoped memory regions may have different life times during the execution of a program and hence, to avoid leaving dangling pointers, it is necessary to check that reference assignments are performed only from objects in shorter lived scopes to objects in longer lived scopes (or between objects in the same scoped memory area). SCJ offers, compared to the RTSJ, a simplified memory model where only the immortal and mission memory scoped areas are shared between threads and any other scoped region is thread private. In this paper we present how, due to this simplified model, a single scope nesting level can be used to check the legality of every reference assignment. We also show that with simple hardware extensions a processor can see some improvement in terms of execution time for applications where cross-scope references are frequent. Our proposal was implemented and tested on the Java Optimized Processor (JOP).","2375-5261","978-0-7695-4643-8","10.1109/ISORC.2012.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195858","Certification;Safety-Critical Java;Scoped Memory;Reference Assignment Checks;Java Optimized Processor","Hardware;Arrays;Java;Software;Memory management;Object oriented modeling;Sensors","","3","","14","IEEE","7 May 2012","11-13 April 2012","11-13 April 2012","IEEE","IEEE Conferences"
"JFORTES: Java Formal Unit TESt Generation","L. Bentes; H. Rocha; E. Valentin; R. Barreto","Institute of Computing, Federal University of Amazonas; Department of Computer Science, Federal University of Roraima; Institute of Computing, Federal University of Amazonas; Institute of Computing, Federal University of Amazonas",2016 VI Brazilian Symposium on Computing Systems Engineering (SBESC),"23 Jan 2017","2016","","","16","23","The use of computer-based systems has increased significantly over the last years in several domains, mainly when we take into account the applications running on mobile platforms that have exploded in just a few short years, so that software verification and testing now play an important role in ensuring the overall product quality. In this paper, we describe the preliminary results of a work that presents a method to integrate formal verification techniques adopting ESC/Java2 and JCute tools with unit testing by TestNG framework to verify Java programs. This method aims to extract the safety properties generated by ESC/Java2 to automatically generate test cases using the rich set of assertions provided by the TestNG framework and JCute to validate those test cases. It is worth noting that is widely recognized that there is a growing need for automated testing techniques aimed at mobile applications, in platforms, such as: Android or Java Platform, Micro Edition (Java ME). Additionally, a critical challenge is the systematic generation of test cases. We show preliminary results of our proposed method over publicly available benchmarks, and compare the results to recognized tools, e.g., CBMC and JavaPathFinder. Experimental results show that our proposed method detects 86.04% of correct results (i.e., if a property satisfy its specification or is violated), while CBMC has found 79.06%, and JPF has found 93,02%.","2324-7894","978-1-5090-2653-1","10.1109/SBESC.2016.012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828280","Static Analysis;Model Checker;Unit Testing;Java Programs;Android;Annotations","Testing;Safety;Java;Software;Smart phones;Runtime","","","","25","IEEE","23 Jan 2017","1-4 Nov. 2016","1-4 Nov. 2016","IEEE","IEEE Conferences"
"Applying Property-Based Testing in Teaching Safety-Critical System Programming","L. -Å. Fredlund; Á. Herranz; J. Mariño","Babel Group Universidad Politécnica de Madrid, Spain; Babel Group Universidad Politécnica de Madrid, Spain; Babel Group Universidad Politécnica de Madrid, Spain",2015 41st Euromicro Conference on Software Engineering and Advanced Applications,"26 Oct 2015","2015","","","309","316","At the Universidad Politécnica de Madrid students attending a course on concurrency are taught a high-level formalism which permits concise specification of shared resources. This formalism is used to express safety-critical access policies for typical control problems such as robot plants. Students are moreover provided with programming recipes for implementing such shared resource specifications in programming languages (typically Java). The teachers of the course use various tools to ensure that the implementations developed by students for a shared resource are of an acceptable quality. Such tools include normal unit tests, but also the systematic application of property-based testing to judge the quality of the exercises. In this article we provide an overview of the tools, techniques and methods used in one particular exercise of the course: the implementation of a control system for an automated warehouse.","2376-9505","978-1-4673-7585-6","10.1109/SEAA.2015.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7302468","Testing;Java;Concurrency;Safety","Concurrent computing;Robot kinematics;Java;Programming;Control systems","","1","","8","IEEE","26 Oct 2015","26-28 Aug. 2015","26-28 Aug. 2015","IEEE","IEEE Conferences"
"Hardware Locks with Priority Ceiling Emulation for a Java Chip-Multiprocessor","T. B. Strøm; M. Schoeberl","Danmarks Tekniske Universitet, Lyngby, DK; Department of Applied Mathematics and Computer Science, Technical University of Denmark",2015 IEEE 18th International Symposium on Real-Time Distributed Computing,"13 Jul 2015","2015","","","268","271","According to the safety-critical Java specification, priority ceiling emulation is a requirement for implementations, as it has preferable properties, such as avoiding priority inversion and being deadlock free on uni-core systems. In this paper we explore our hardware supported implementation of priority ceiling emulation on the multicore Java optimized processor, and compare it to the existing hardware locks on the Java optimized processor. We find that the additional overhead for priority ceiling emulation on a multicore processor is several times higher than simpler, non-premptive locks, mainly due to slow access to shared memory. We also find that PCE is mostly viable with large critical sections.","2375-5261","978-1-4799-8781-8","10.1109/ISORC.2015.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153815","safety-critical java;locking;multicore","Java;Multicore processing;Hardware;Real-time systems;Monitoring;Emulation;Protocols","","1","","11","IEEE","13 Jul 2015","13-17 April 2015","13-17 April 2015","IEEE","IEEE Conferences"
"Adaptive Distributed Embedded and Real-Time Java Systems Based on RTSJ","M. T. Higuera-Toledano","DACYA, Universidad Complutense de Madrid, Madrid, Spain",2012 IEEE 15th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing Workshops,"10 May 2012","2012","","","164","171","Java is a programming technology which has been extended in order to provide the timeliness required by real-time systems (e.g., RTSJ). There are two RTSJ-based profiles: DRTSJ supporting distributed real-time Java systems and SCJS supporting the development of programs that must be certified. However neither of them considers dynamics characteristics allowing the system to be adapted to the changing environment. Distributed safety-critical systems that must provide continuous service (e.g., air-traffic control systems or enterprise and financial applications) require dynamic updates. Dynamic software modification is a useful capability because the application is able to update itself to fix bugs and add new features without requiring a stop and a restart. In this paper, we overview Java solutions considering real-time requirements in service-oriented component models allowing dynamics updates (e.g., OSGi).","","978-0-7695-4669-8","10.1109/ISORCW.2012.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6196118","Real-time;Java;adaptive systems;components;software engineering","Real time systems;Java;Software;Memory management;Resource management;Servers","","2","","33","IEEE","10 May 2012","11-11 April 2012","11-11 April 2012","IEEE","IEEE Conferences"
"Towards Compiling Region Types Into RTSJ-Compliant Java Code","F. Craciun; G. Glodean","Department of Computer Science, Babes-Bolyai University; Department of Computer Science, Babes-Bolyai University",2018 20th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),"1 Jul 2019","2018","","","101","108","In the last decade, multiple Real-Time Specification for Java (RTSJ) compliant Java Virtual Machines have been developed and used in safety critical applications. Region-based memory management is a core feature of RTSJ. In this paper, we provide an automatic generation of RTSJ region-based memory management code. We start from a Java program annotated with region types and we apply three type-based analyses. The region types are provided either by our previous region type inference or by the programmers and verified by our previous region type checker. The first two analyses simplify the region type annotations, while the last analysis generates the code according to the RTSJ API.","","978-1-7281-0625-0","10.1109/SYNASC.2018.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8750749","type systems;region-based memory management;real-time specification for Java","Memory management;Java;Real-time systems;Safety;Runtime;Instruction sets;Receivers","","","","27","IEEE","1 Jul 2019","20-23 Sept. 2018","20-23 Sept. 2018","IEEE","IEEE Conferences"
"A Profile for Safety Critical Java","M. Schoeberl; H. Sondergaard; B. Thomsen; A. P. Ravn","Institute of Computer Engineering, University of Technology, Vienna, Austria; Vitus Bering Denmark University College, Horsens, Denmark; Department of Computer Science, University of Aalborg, Aalborg, Denmark; Department of Computer Science, University of Aalborg, Aalborg, Denmark",10th IEEE International Symposium on Object and Component-Oriented Real-Time Distributed Computing (ISORC'07),"21 May 2007","2007","","","94","101","We propose a new, minimal specification for real-time Java for safety critical applications. The intention is to provide a profile that supports programming of applications that can be validated against safety critical standards such as DO-178B (1992). The proposed profile is in line with the Java specification request JSR-302: Safety Critical Java Technology, which is still under discussion. In contrast to the current direction of the expert group for the JSR-302 we do not subset the rather complex Real-Time Specification for Java (RTSJ). Nevertheless, our profile can be implemented on top of an RTSJ compliant JVM","2375-5261","0-7695-2765-5","10.1109/ISORC.2007.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4208831","","Safety;Java;Middleware;Application software;Yarn;Programming profession;Logic;Standards development;Real time systems;Embedded system","","13","","23","IEEE","21 May 2007","7-9 May 2007","7-9 May 2007","IEEE","IEEE Conferences"
"A Comparative Analysis of Static Code Analysis Tools that check Java Code Adherence to Java Coding Standards","Q. Ashfaq; R. Khan; S. Farooq","Department of Software Engineering, NUST College of Electrical and Mechanical Engineering, Rawalpindi, Pakistan; Department of Software Engineering, NUST College of Electrical and Mechanical Engineering, Rawalpindi, Pakistan; Department of Software Engineering, Fatima Jinnah Women University, Rawalpindi, Pakistan","2019 2nd International Conference on Communication, Computing and Digital systems (C-CODE)","4 Apr 2019","2019","","","98","103","Java programming language is considered highly important due to its extensive use in the development of web, desktop as well as handheld devices applications. Implementing Java Coding standards on Java code has great importance as it creates consistency and as a result better development and maintenance. Finding bugs and standard’s violations is important at an early stage of software development than at a later stage when the change becomes impossible or too expensive. In the paper, some tools and research work done on Coding Standard Analyzers is reviewed. These tools are categorized based on the type of rules they cheeked, namely: style, concurrency, exceptions, and quality, security, dependency and general methods of static code analysis. Finally, list of Java Coding Standards Enforcing Tools are analyzed against certain predefined parameters that are limited by the scope of research paper under study. This review will provide the basis for selecting a static code analysis tool that enforce International Java Coding Standards such as the Rule of Ten and the JPL Coding Standards. Such tools have great importance especially in the development of mission/safety critical system. This work can be very useful for developers in selecting a good tool for Java code analysis, according to their requirements.","","978-1-5386-9609-5","10.1109/C-CODE.2019.8681007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8681007","analyzers;static analysis;standards;critical system;testing;style;exceptions;quality;security","Java;Codes;Reviews;Source coding;Computer bugs;Static analysis;Software;Telecommunication computing;Security;Standards","","10","","17","IEEE","4 Apr 2019","6-7 March 2019","6-7 March 2019","IEEE","IEEE Conferences"
"Achieving MC/DC using UML Communication Diagram","P. Mahanto; S. K. Barisal; D. P. Mohapatra","Dept. of Computer Science and Engg, N.I.T. Rourkela, Odisha, India; Dept. of Computer Science and Engg, N.I.T. Rourkela, Odisha, India; Dept. of Computer Science and Engg, N.I.T. Rourkela, Odisha, India",2018 International Conference on Information Technology (ICIT),"30 May 2019","2018","","","73","78","Today, in order to reduce the burdensome task of software testing, test case generation has been elongated and can be generated not only from the coding documents but also from Software Requirement Specification (SRS) and Object-Oriented design models (e.g. UML model). A Unified Modeling Language (UML) contains different diagrams for visual modeling of the Object-Oriented software. To describe individual perspectives of a software system different types of UML diagrams are used. In this study, we have used UML Communication Diagram and generated test cases by considering Modified Condition/Decision Coverage (MC/DC) as a precedent. A UML Communication diagram is used to describe a set of objects collaborating to implement a specific task and illustrate the relationship between them through a complex operation. We propose an automated model-based technique for MC/DC test case generation from the UML Communication Diagram and for that, we have proposed a framework named MC/DC Estimator for UML Communication Diagram (MEUCD) which is a combination of different tools like Modelio, JiBX, jCUTE, and COPECA. We first design a UML Communication Diagram in Modelio UML Modeler and then, by using the classes and instances of the communication diagram, we design the XML Schema Design (XSD) model in Modelio XSD Designer. Then, the XSD is given as input to a Java XML Binding tool JiBX to generate the Java Code. Next, we convert this Java code to a jCUTE executable form and supply it to jCUTE for generating test cases. Finally, MC/DC coverage is measured by using the acceptable Java code and the generated test cases of jCUTE.","","978-1-7281-0259-7","10.1109/ICIT.2018.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8724282","MC/DC;UML Communication diagram;Concolic Testing.","Unified modeling language;Java;Testing;Tools;Object oriented modeling;Computational modeling;XML","","3","","14","IEEE","30 May 2019","19-21 Dec. 2018","19-21 Dec. 2018","IEEE","IEEE Conferences"
"How to reliably integrate medical devices over wireless","C. Kim; M. Sun; M. Rahmaniheris; L. Sha","School of EECS, Korea AeroSpace University, Goyang, South Korea; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA","2012 9th Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks (SECON)","23 Aug 2012","2012","","","85","87","This demonstration presents our NASS (Network Aware Supervisory System) framework prototype for medical device integration systems. The NASS framework interconnects medical devices over wireless for convenience, seamlessness and sanitation, and provides safety-guaranteed supervision. Our prototype was developed in Sun Java Real-time Environment. Real-time Java provides well-formed convenience of dynamically loading and unloading medical application logic and safety rules on the fly in real-time environments. To tackle the complexity of using real-time Java in the safety-critical system, we also applied HW/SW codesign method. Real-time Java Environment + Linux operating system may not be robust enough for medical devices to fully rely on. In our prototype, the supervisor software in Java performs all logical decisions including contingency plan generation derived from the safety rules. Once logic is decided, the decisions and plans for the devices are delivered to the hardware implemented in FPGA at each device to physically drive medical equipments. Since the execution of decisions and plans are delegated to the hardware, any failure in software does not harm the integrated safety. Our demonstration shows how safety is managed in different kinds of failures from wireless network failures to device software failures.","2155-5494","978-1-4673-1905-8","10.1109/SECON.2012.6276355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6276355","","Safety;Protocols;Engines;Prototypes;Software;Biomedical equipment;Java","","2","","2","IEEE","23 Aug 2012","18-21 June 2012","18-21 June 2012","IEEE","IEEE Conferences"
