"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Molina-Giménez E.; Barcelona-Pons D.; Iacoponelli O.H.; García-López P.","Molina-Giménez, Enrique (59261349300); Barcelona-Pons, Daniel (57206657129); Iacoponelli, Octavio H. (60371414700); García-López, Pedro (24479469800)","59261349300; 57206657129; 60371414700; 24479469800","Flexecutor: Out-of-the-Box Smart Provisioning for Serverless Workflows","2025","WoSC11 2025 - Proceedings of the 11th International Workshop on Serverless Computing, Part of Middleware Conference","","","","14","19","0","10.1145/3774899.3775013","https://www.scopus.com/pages/publications/105029348064?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029348064"
"Mukhopadhyay N.; Tewari B.P.","Mukhopadhyay, Nirmalya (57486147500); Tewari, Babul P. (55488836900)","57486147500; 55488836900","Cost and energy aware migration through dependency analysis of VM components in virtual cloud infrastructure","2025","Computing","107","1","24","","","8","10.1007/s00607-024-01383-x","https://www.scopus.com/pages/publications/85212044698?origin=resultslist","Article","Final","","Scopus","2-s2.0-85212044698"
"Apriantoro R.; Maulud K.N.A.; Sahwee Z.B.; Mukhlisin M.; Astuti H.W.; Rabinah A.H.; Junaidi","Apriantoro, Roni (57216631466); Maulud, Khairul Nizam Abdul (57215915257); Sahwee, Zulhilmy Bin (55524079500); Mukhlisin, Muhammad (18634679000); Astuti, Hany Windri (57263889500); Rabinah, Aiun Hayatu (57214781136); Junaidi (57189839521)","57216631466; 57215915257; 55524079500; 18634679000; 57263889500; 57214781136; 57189839521","Design and Fabrication of Quadcopter UAV for Landslide Assessment","2026","International Journal on Informatics Visualization","10","1","","454","463","0","10.62527/joiv.10.1.3587","https://www.scopus.com/pages/publications/105030700806?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030700806"
"Gall A.; Heim A.; Gröller E.; Heinzl C.","Gall, Alexander (57377147600); Heim, Anja (57862025400); Gröller, Eduard (6701726115); Heinzl, Christoph (22957423800)","57377147600; 57862025400; 6701726115; 22957423800","MARV: Multiview Augmented Reality Visualisation for Exploring Rich Material Data","2025","Computer Graphics Forum","44","6","e70150","","","1","10.1111/cgf.70150","https://www.scopus.com/pages/publications/105004584394?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105004584394"
"Morgen A.; Seeger B.","Morgen, Andreas (56515453500); Seeger, Bernhard (7004609788)","56515453500; 7004609788","Detecting Continuous Group Movement Patterns in Densely Populated Areas","2025","DEBS 2025 - Proceedings of the 19th ACM International Conference on Distributed and Event-Based Systems","","","","110","121","1","10.1145/3701717.3730552","https://www.scopus.com/pages/publications/105013051226?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105013051226"
"Malou T.; Labarthe S.; Lucas P.; Parisey N.","Malou, Thibault (59777299600); Labarthe, Simon (55637426600); Lucas, Philippe (36008941800); Parisey, Nicolas (16064521900)","59777299600; 55637426600; 36008941800; 16064521900","Pest localization through sequential data assimilation with pheromone sensors","2026","Computers and Electronics in Agriculture","246","","111594","","","1","10.1016/j.compag.2026.111594","https://www.scopus.com/pages/publications/105031391355?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105031391355"
"Romero B J.P.; Korakovounis D.; Pedersen J.E.; Conradt J.","Romero B, Juan P. (59923339200); Korakovounis, Dimitrios (59487825500); Pedersen, Jens E. (57687008100); Conradt, Jorg (13005140400)","59923339200; 59487825500; 57687008100; 13005140400","Low-latency neuromorphic air hockey player","2025","Neuromorphic Computing and Engineering","5","2","024014","","","1","10.1088/2634-4386/addc15","https://www.scopus.com/pages/publications/105007051431?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007051431"
"Vallero M.; Casagranda G.; Vella F.; Rech P.","Vallero, Marzio (58849641900); Casagranda, Gioele (59245390600); Vella, Flavio (57217046556); Rech, Paolo (19638969800)","58849641900; 59245390600; 57217046556; 19638969800","Radiation-Induced Fault Detection in Superconducting Quantum Devices","2026","Advanced Quantum Technologies","9","4","e00469","","","0","10.1002/qute.202500469","https://www.scopus.com/pages/publications/105035351023?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035351023"
"Tojo K.; Umetani N.","Tojo, Kenji (57829708700); Umetani, Nobuyuki (31767805300)","57829708700; 31767805300","GreenCloud: Volumetric Gradient Filtering via Regularized Green's Functions","2025","Computer Graphics Forum","44","5","e70207","","","0","10.1111/cgf.70207","https://www.scopus.com/pages/publications/105014594593?origin=resultslist","Article","Final","","Scopus","2-s2.0-105014594593"
"Inoue H.; Cousineau D.; Faissole F.","Inoue, Hiroaki (57214837183); Cousineau, Denis (57513383000); Faissole, Florian (57193574657)","57214837183; 57513383000; 57193574657","Synthesizing Synchronous Program from Timing Diagram; [タイミング図からの同期プログラム自動生成技術]","2026","Computer Software","43","1","","1","","0","10.11309/jssst.43.1_84","https://www.scopus.com/pages/publications/105030606851?origin=resultslist","Article","Final","","Scopus","2-s2.0-105030606851"
"Alzahrani S.; Xiao Y.; Asiri S.; Alasmari N.; Li T.","Alzahrani, Saleh (57918490200); Xiao, Yang (36047400300); Asiri, Sultan (57258919700); Alasmari, Naif (57205728146); Li, Tieshan (8446636200)","57918490200; 36047400300; 57258919700; 57205728146; 8446636200","RansomFormer: A Cross-Modal Transformer Architecture for Ransomware Detection via the Fusion of Byte and API Features","2025","Electronics (Switzerland)","14","7","1245","","","13","10.3390/electronics14071245","https://www.scopus.com/pages/publications/105002403118?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002403118"
"Pu Y.; Xia X.; Hou X.; Wang C.; Xu C.; Liu J.; Wang J.; Guo M.; Yuan J.; Li C.","Pu, Yifei (58024239500); Xia, Xinfeng (59391274800); Hou, Xiaofeng (57190338889); Wang, Chi (59369768800); Xu, Cheng (57943793600); Liu, Jiacheng (57195231115); Wang, Jing (56181036900); Guo, Minyi (7201564780); Yuan, Jingling (7403401516); Li, Chao (56697637700)","58024239500; 59391274800; 57190338889; 59369768800; 57943793600; 57195231115; 56181036900; 7201564780; 7403401516; 56697637700","MMBypass: Towards efficient multi-modal AI computing with adaptive bypass network","2025","Journal of Parallel and Distributed Computing","201","","105078","","","1","10.1016/j.jpdc.2025.105078","https://www.scopus.com/pages/publications/105002425387?origin=resultslist","Article","Final","","Scopus","2-s2.0-105002425387"
"Agarkar A.; Shewale S.; Shah B.; Shikalkar A.; Sangale O.","Agarkar, Aarti (37101186700); Shewale, Sakshi (58502215000); Shah, Bhavya (59718087100); Shikalkar, Asif (58502287300); Sangale, Onkar (58938638300)","37101186700; 58502215000; 59718087100; 58502287300; 58938638300","Multi-Server Management System Using Flask, SSH and Paramiko","2025","Proceedings of the 3rd International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics, IITCEE 2025","","","","","","3","10.1109/IITCEE64140.2025.10915313","https://www.scopus.com/pages/publications/105001538778?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105001538778"
"Sharmah D.; Bora K.C.; Khakhlari J.","Sharmah, Daisy (58900392800); Bora, Kanak Chandra (57221746857); Khakhlari, Junumoni (58908169300)","58900392800; 57221746857; 58908169300","MODIFIED HONEY BEE ALGORITHM WITH RANDOM SELECTION OF VIRTUAL MACHINES FOR DYNAMIC LOAD BALANCING","2026","Computer Science","26","3","","1","19","0","10.7494/csci.2025.26.3.660","https://www.scopus.com/pages/publications/105031641398?origin=resultslist","Article","Final","","Scopus","2-s2.0-105031641398"
"Dhang S.; Gore S.; Dhas G.; Dhanorkar S.; Dhawale Y.; Dhede A.","Dhang, Sarthak (60789013200); Gore, Shruti (60170580000); Dhas, Gayatri (60789621300); Dhanorkar, Shlok (60789215100); Dhawale, Yash (60789322400); Dhede, Amod (60789422400)","60789013200; 60170580000; 60789621300; 60789215100; 60789322400; 60789422400","Quick Queue-A Web based Platform for College Canteens","2026","17th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2026","1","","","2953","2958","0","","https://www.scopus.com/pages/publications/105047248718?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105047248718"
"Song J.; Liu G.; Wang M.","Song, Jian (58078076200); Liu, Guanjun (56270547400); Wang, Miaomiao (57208134925)","58078076200; 56270547400; 57208134925","Model Checking of Workflow Nets with Tables and Constraints","2025","ACM Transactions on Autonomous and Adaptive Systems","20","2","","","","3","10.1145/3736177","https://www.scopus.com/pages/publications/105008780850?origin=resultslist","Article","Final","","Scopus","2-s2.0-105008780850"
"García-Jiménez A.; Suela Cedenilla C.; Jouini D.; Aranda J.","García-Jiménez, Aurora (57763448800); Suela Cedenilla, César (60714430500); Jouini, Dorra (60714043200); Aranda, Juan (55319295800)","57763448800; 60714430500; 60714043200; 55319295800","Energy Management Optimization in Photovoltaic-Powered Irrigation Systems: A Comparative Analysis of Electrical and Natural Storage Strategies","2026","Sustainability (Switzerland)","18","12","5953","","","0","10.3390/su18125953","https://www.scopus.com/pages/publications/105043076244?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043076244"
"Liu X.; Li Y.; Zou M.","Liu, Xichen (60121107200); Li, Yajie (60120904300); Zou, Muquan (57215307567)","60121107200; 60120904300; 57215307567","Multi-Modal Spectral Analysis of DZT Radar Data for Tunnel Defect Detection","2026","ICHCE and ESI 2025: Safety Monitoring and Risk Assessment - Selected papers from the 11th International Conference on Hydraulic and Civil Engineering and Engineering Safety and Intelligence Forum","","","","194","206","0","10.1061/9780784486795.018","https://www.scopus.com/pages/publications/105039932109?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105039932109"
"Lim H.; Kim D.; Myung H.","Lim, Hyungtae (57208548155); Kim, Daebeom (58258765500); Myung, Hyun (7004861367)","57208548155; 58258765500; 7004861367","Multi-Mapcher: Loop Closure Detection-Free Heterogeneous LiDAR Multi-Session SLAM Leveraging Outlier-Robust Registration for Autonomous Vehicles","2026","IEEE Transactions on Intelligent Vehicles","11","2","","338","351","1","10.1109/TIV.2025.3635064","https://www.scopus.com/pages/publications/105022891112?origin=resultslist","Article","Final","","Scopus","2-s2.0-105022891112"
"Sefati S.S.; Nor A.M.; Arasteh B.; Craciunescu R.; Comsa C.-R.","Sefati, Seyed Salar (57222602957); Nor, Ahmed M. (57201885304); Arasteh, Bahman (39861139000); Craciunescu, Razvan (55603584000); Comsa, Ciprian-Romeo (14631567800)","57222602957; 57201885304; 39861139000; 55603584000; 14631567800","A Probabilistic Approach to Load Balancing in Multi-Cloud Environments via Machine Learning and Optimization Algorithms","2025","Journal of Grid Computing","23","2","16","","","26","10.1007/s10723-025-09805-6","https://www.scopus.com/pages/publications/105002910634?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002910634"
"Lundberg D.; Guanciale R.; Lindner A.; Dam M.","Lundberg, Didrik (57219175043); Guanciale, Roberto (15050501300); Lindner, Andreas (57197827401); Dam, Mads (55757177800)","57219175043; 15050501300; 57197827401; 55757177800","Hoare-style logic for unstructured programs","2026","Journal of Logical and Algebraic Methods in Programming","149","","101099","","","0","10.1016/j.jlamp.2025.101099","https://www.scopus.com/pages/publications/105023082257?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023082257"
"Duma M.; Twala B.; Marwala T.","Duma, Mlungisi (24722548300); Twala, Bhekisipho (14632785000); Marwala, Tshilidzi (6701686531)","24722548300; 14632785000; 6701686531","Control parameter optimisation using the evidence framework for the ant colony optimisation algorithm","2025","Information Sciences","690","","121533","","","5","10.1016/j.ins.2024.121533","https://www.scopus.com/pages/publications/85207291506?origin=resultslist","Article","Final","","Scopus","2-s2.0-85207291506"
"Lee J.; Bae K.","Lee, Jaeseo (58081263300); Bae, Kyungmin (36625011100)","58081263300; 36625011100","Bounded model checking of multitask PLC ST programs with preemption using rewriting modulo SMT","2026","Journal of Logical and Algebraic Methods in Programming","150","","101130","","","0","10.1016/j.jlamp.2026.101130","https://www.scopus.com/pages/publications/105036678212?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105036678212"
"Gueroudji A.; Dorier M.; Carns P.; Patel P.; Bicer T.; Latham R.; Ross R.; Chard K.; Foster I.","Gueroudji, Amal (57475072100); Dorier, Matthieu (36141762900); Carns, Philip (6507336251); Patel, Parth (58548934300); Bicer, Tekin (36141670300); Latham, Robert (35253699400); Ross, Robert (8424541100); Chard, Kyle (9132950200); Foster, Ian (35572232000)","57475072100; 36141762900; 6507336251; 58548934300; 36141670300; 35253699400; 8424541100; 9132950200; 35572232000","RESILIO: A Scalable and Composable Architecture for Tomographic Reconstruction Workflows","2025","Proceedings of 2025 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis, SC 2025 Workshops","","","","2281","2292","1","10.1145/3731599.3767575","https://www.scopus.com/pages/publications/105023450695?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105023450695"
"Wald D.; Doronina O.; Johnson K.; King R.; Sinner M.; Griffin K.; Chintala R.; Vaidhynathan D.; Sanyal J.; Day M.","Wald, Dylan (57350160000); Doronina, Olga (57190341248); Johnson, Kathryn (57209635694); King, Ryan (59958642000); Sinner, Michael (57203658523); Griffin, Kevin (57207196814); Chintala, Rohit (56644577600); Vaidhynathan, Deepthi (57192558997); Sanyal, Jibonananda (32668009000); Day, Marc (7401702840)","57350160000; 57190341248; 57209635694; 59958642000; 57203658523; 57207196814; 56644577600; 57192558997; 32668009000; 7401702840","A bi-level advanced control framework for large-scale control of buildings with system-level impact","2026","Energy and AI","23","","100678","","","0","10.1016/j.egyai.2026.100678","https://www.scopus.com/pages/publications/105027734856?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027734856"
