"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Anderson R.","Anderson, Ross (59830178100)","59830178100","Security Engineering: A Guide to Building Dependable Distributed Systems, Third Edition","2020","Security Engineering: A Guide to Building Dependable Distributed Systems, Third Edition","","","","1","1182","171","10.1002/9781119644682","https://www.scopus.com/pages/publications/85179271512?origin=resultslist","Book","Final","","Scopus","2-s2.0-85179271512"
"Wehrmeister M.A.; De Freitas E.P.; Binotto A.P.D.; Pereira C.E.","Wehrmeister, Marco Aurélio (8907453600); De Freitas, Edison Pignaton (23476402500); Binotto, Alécio Pedro Delazari (15080702000); Pereira, Carlos Eduardo (35565573300)","8907453600; 23476402500; 15080702000; 35565573300","Combining aspects and object-orientation in model-driven engineering for distributed industrial mechatronics systems","2014","Mechatronics","24","7","","844","865","31","10.1016/j.mechatronics.2013.12.008","https://www.scopus.com/pages/publications/84908117492?origin=resultslist","Article","Final","","Scopus","2-s2.0-84908117492"
"Schoofs T.; Jenn E.; Leriche S.; Nilsen K.; Gauthier L.; Richard-Foy M.","Schoofs, Tobias (25822823900); Jenn, Eric (6506594130); Leriche, Stéphane (17434677900); Nilsen, Kelvin (7005610755); Gauthier, Ludovic (17434177300); Richard-Foy, Marc (17435525100)","25822823900; 6506594130; 17434677900; 7005610755; 17434177300; 17435525100","Use of PERC pico in the AIDA avionics platform","2009","ACM International Conference Proceeding Series","","","1620429","169","178","18","10.1145/1620405.1620429","https://www.scopus.com/pages/publications/70350676396?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-70350676396"
"Kolchin A.","Kolchin, A. (56371355000)","56371355000","Interactive method for cumulative analysis of software formal models behavior","2018","CEUR Workshop Proceedings","2139","","","115","124","7","","https://www.scopus.com/pages/publications/85051089694?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85051089694"
"Khatab E.; Fathy F.; AlKholy A.; Shalash O.","Khatab, Esraa (57200195284); Fathy, Fares (60211111300); AlKholy, Abdallah (60758537800); Shalash, Omar (58135814900)","57200195284; 60211111300; 60758537800; 58135814900","Sensor Fusion and Perception for Autonomous Driving: A Critical Review of Modalities, AI Models, Algorithms, and Industry Configurations","2026","Machine Learning and Knowledge Extraction","8","7","199","","","1","10.3390/make8070199","https://www.scopus.com/pages/publications/105045800114?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045800114"
"Chapetta W.A.; Das Neves J.S.; Machado R.C.S.","Chapetta, Wladmir Araujo (57203638103); Das Neves, Jailton Santos (57223843880); Machado, Raphael Carlos Santos (57197812644)","57203638103; 57223843880; 57197812644","Quantitative metrics for performance monitoring of software code analysis accredited testing laboratories","2021","Sensors","21","11","3660","","","3","10.3390/s21113660","https://www.scopus.com/pages/publications/85106240163?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106240163"
"Tang S.; Zhang Z.; Zhou J.; Zhou Y.; Li Y.-F.; Xue Y.","Tang, Shuncheng (57545535800); Zhang, Zhenya (57203125687); Zhou, Jixiang (57762006000); Zhou, Yuan (55966271800); Li, Yan-Fu (56609542700); Xue, Yinxing (35101120400)","57545535800; 57203125687; 57762006000; 55966271800; 56609542700; 35101120400","EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing","2023","Proceedings - International Symposium on Software Reliability Engineering, ISSRE","","","","309","320","22","10.1109/ISSRE59848.2023.00054","https://www.scopus.com/pages/publications/85177997499?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85177997499"
"Iung A.; Carbonell J.; Marchezan L.; Rodrigues E.; Bernardino M.; Basso F.P.; Medeiros B.","Iung, Aníbal (57218672920); Carbonell, João (57218676754); Marchezan, Luciano (57195371669); Rodrigues, Elder (36476479800); Bernardino, Maicon (56082202800); Basso, Fabio Paulo (15063947700); Medeiros, Bruno (57218670908)","57218672920; 57218676754; 57195371669; 36476479800; 56082202800; 15063947700; 57218670908","Systematic mapping study on domain-specific language development tools","2020","Empirical Software Engineering","25","5","","4205","4249","63","10.1007/s10664-020-09872-1","https://www.scopus.com/pages/publications/85089982339?origin=resultslist","Article","Final","","Scopus","2-s2.0-85089982339"
"Guerrero-Contreras G.; Balderas-Díaz S.; Delgado-Pérez P.; Medina-Bulo I.","Guerrero-Contreras, Gabriel (56286939600); Balderas-Díaz, Sara (56493207100); Delgado-Pérez, Pedro (57203165328); Medina-Bulo, Inmaculada (22433447400)","56286939600; 56493207100; 57203165328; 22433447400","Explainable Artificial Intelligence to Improve Interpretability in Predictive Mutation Testing","2025","Lecture Notes in Computer Science","15684 LNAI","","","307","318","1","10.1007/978-981-96-6005-6_22","https://www.scopus.com/pages/publications/105004254233?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105004254233"
"Delgado-Pérez P.; Balderas-Díaz S.; Medina-Bulo I.; Guerrero-Contreras G.","Delgado-Pérez, Pedro (57203165328); Balderas-Díaz, Sara (56493207100); Medina-Bulo, Inmaculada (22433447400); Guerrero-Contreras, Gabriel (56286939600)","57203165328; 56493207100; 22433447400; 56286939600","Methodological pitfalls in predictive mutation testing: threats, impact and open challenges","2026","Automated Software Engineering","33","3","84","","","0","10.1007/s10515-026-00626-9","https://www.scopus.com/pages/publications/105039658794?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105039658794"
