"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Pešić Đ.; Vujošević Janičić M.; Mišić M.; Protić J.","Pešić, Đorđe (57094824500); Vujošević Janičić, Milena (16551231400); Mišić, Marko (55029538300); Protić, Jelica (6602174311)","57094824500; 16551231400; 55029538300; 6602174311","Assessing the effectiveness of large language models for generating and estimating time complexity of code segments","2026","PeerJ Computer Science","12","","e3946","","","0","10.7717/peerj-cs.3946","https://www.scopus.com/pages/publications/105044520967?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105044520967"
"Imran M.; Cortellessa V.; Di Ruscio D.; Rubei R.; Traini L.","Imran, Muhammad (59201801600); Cortellessa, Vittorio (6603764364); Di Ruscio, Davide (57201633392); Rubei, Riccardo (57204794283); Traini, Luca (57201399696)","59201801600; 6603764364; 57201633392; 57204794283; 57201399696","Is code coverage of performance tests related to source code features? An empirical study on open-source Java systems","2025","Empirical Software Engineering","30","6","157","","","3","10.1007/s10664-025-10712-3","https://www.scopus.com/pages/publications/105014905514?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014905514"
"Neto J.R.D.A.; Alves E.L.G.; Araújo E.C.","Neto, José Rocha do Amaral (60758629200); Alves, Everton L. G. (35185930600); Araújo, Eliane C. (15769170100)","60758629200; 35185930600; 15769170100","Beyond Production Code: A Pull Request-Based Study of Technical Debt in Test Code","2026","Proceedings - 2026 ACM/IEEE International Conference on Technical Debt, TechDebt 2026","","","","25","35","0","10.1145/3794915.3795781","https://www.scopus.com/pages/publications/105045695546?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045695546"
"Andrade Ananias K.H.; Seliayeu D.; Amaral J.N.; Magno Quintao Pereira F.","Andrade Ananias, Kaio Henrique (60580115300); Seliayeu, Danila (60580115400); Amaral, Jose Nelson (7006641500); Magno Quintao Pereira, Fernando (55930766600)","60580115300; 60580115400; 7006641500; 55930766600","Multidirectional Propagation of Sparsity Information across Tensor Slices","2026","CGO 2026 - Proceedings of the 2026 IEEE/ACM International Symposium on Code Generation and Optimization","","","","644","656","0","10.1109/CGO68049.2026.11395229","https://www.scopus.com/pages/publications/105041771936?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105041771936"
"Zhao P.; Blake J.; Pyshkin E.","Zhao, Peng (60782978000); Blake, John (56074962000); Pyshkin, Evgeny (36574097400)","60782978000; 56074962000; 36574097400","Framework-Adaptive Agentic Pipelines for API Knowledge Extraction and Test Generation","2026","Proceedings of the 2026 IEEE International Conference on Industry 4.0, Artificial Intelligence, and Communications Technology, IAICT 2026","","","","185","192","0","10.1109/IAICT71158.2026.11620949","https://www.scopus.com/pages/publications/105046896743?origin=resultslist","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105046896743"
"Shaikhha A.; Xia Y.; Tarabkhah M.; Saleem J.; Herlihy A.","Shaikhha, Amir (55986250800); Xia, Youning (60134783400); Tarabkhah, Meisam (57207841995); Saleem, Jazal (60134440100); Herlihy, Anna (58681094000)","55986250800; 60134783400; 57207841995; 60134440100; 58681094000","Raqlet: Cross-Paradigm Compilation for Recursive Queries","2026","CIDR 2026 - Proceedings of Conference on Innovative Data Systems Research","","","","","","0","","https://www.scopus.com/pages/publications/105034368176?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034368176"
"Bhuiyan S.S.; Tiwari A.; Pei Y.; Furia C.A.","Bhuiyan, Shifat Sahariar (59252930700); Tiwari, Abhishek (57201735882); Pei, Yu (57226393180); Furia, Carlo A. (8558553300)","59252930700; 57201735882; 57226393180; 8558553300","PREVARANK: Ranking plausible patches by historic feature frequencies","2026","Journal of Systems and Software","240","","112921","","","0","10.1016/j.jss.2026.112921","https://www.scopus.com/pages/publications/105039528182?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105039528182"
"Vombatkere N.; Dikshith P.","Vombatkere, Nikhill (58362155600); Dikshith, Pranav (60789452600)","58362155600; 60789452600","A Lightweight Fused Malware Obfuscation Framework to Evade Static and Dynamic Analysis","2026","Proceedings of the International Symposium on System and Software Reliability, ISSSR","","2026","","1","10","0","10.1109/ISSSR69973.2026.00013","https://www.scopus.com/pages/publications/105047253187?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105047253187"
"Zhu H.-N.; Furth R.; Pradel M.; Rubio-González C.","Zhu, Hao-Nan (57220189436); Furth, Robert (58611785300); Pradel, Michael (25641744400); Rubio-González, Cindy (28167893700)","57220189436; 58611785300; 25641744400; 28167893700","From Bugs to Benchmarks: A Comprehensive Survey of Software Defect Datasets","2026","ACM Computing Surveys","58","10","249","","","1","10.1145/3797033","https://www.scopus.com/pages/publications/105037659227?origin=resultslist","Article","Final","","Scopus","2-s2.0-105037659227"
"Lu Y.-H.; Zhu X.-Y.; Zhang W.; Yan R.","Lu, Yi-Han (60211502800); Zhu, Xue-Yang (8921056100); Zhang, Wenhui (8080014300); Yan, Rongjie (36622456400)","60211502800; 8921056100; 8080014300; 36622456400","Formalizing Requirements into Dafny Specifications with LLMs","2026","Lecture Notes in Computer Science","16229 LNCS","","","97","116","1","10.1007/978-981-95-4213-0_6","https://www.scopus.com/pages/publications/105022867023?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105022867023"
