"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tolah A.","Tolah, Alaa (57209637583)","57209637583","TeachSecure-CTI: Adaptive Cybersecurity Curriculum Generation Using Threat Dynamics and AI","2026","Computers, Materials and Continua","87","1","71","","","0","10.32604/cmc.2025.074997","https://www.scopus.com/pages/publications/105029562706?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029562706"
"Bressan M.; Cesa-Bianchi N.; D’orsi T.; Esposito E.; Lattanzi S.","Bressan, Marco (57197468249); Cesa-Bianchi, Nicolò (7003771641); D’orsi, Tommaso (57220950523); Esposito, Emmanuel (57214879157); Lattanzi, Silvio (24081026500)","57197468249; 7003771641; 57220950523; 57214879157; 24081026500","Active Learning on Adversarially Corrupted Graphs","2026","Proceedings of Machine Learning Research","336","","","","","0","","https://www.scopus.com/pages/publications/105045697840?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105045697840"
"Qi X.; Chen Y.; Zhao H.; Yu X.","Qi, Xiaodan (60497576600); Chen, Yuxin (60508273700); Zhao, Hongyan (60498373200); Yu, Xihe (57215654316)","60497576600; 60508273700; 60498373200; 57215654316","Predicting Sustainable Purchase Intention for Green Prepared Dishes Using Explainable Machine Learning: Evidence from Jilin Province, China","2026","Sustainability (Switzerland)","18","12","6204","","","0","10.3390/su18126204","https://www.scopus.com/pages/publications/105043170794?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043170794"
"Mertel M.; Voigt K.-I.","Mertel, Michael (59668088900); Voigt, Kai-Ingo (16403637200)","59668088900; 16403637200","Why do people buy NFTs: a configurational approach to understanding the adoption of non-fungible tokens","2026","European Journal of Information Systems","35","4","","705","736","0","10.1080/0960085X.2026.2617357","https://www.scopus.com/pages/publications/105029418491?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029418491"
"Xu F.; Kang X.; Wang H.","Xu, Fan (57204068787); Kang, Xiangjun (58973739200); Wang, Hesheng (56183152100)","57204068787; 58973739200; 56183152100","Safety-Aware Adaptive Visual Servoing of Soft Robots through Online Shape-Force Transformation","2026","IEEE Transactions on Robotics","","","","","","0","10.1109/TRO.2026.3706564","https://www.scopus.com/pages/publications/105043596841?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105043596841"
"Zhu Y.; Zhao Z.; Zhao J.; Liu J.","Zhu, Yi (60699678100); Zhao, Zhou (60007875000); Zhao, Jingjing (60339336300); Liu, Jinxiang (57204712880)","60699678100; 60007875000; 60339336300; 57204712880","Multi-objective optimization design of cooling fins for rotary engine","2026","Structural and Multidisciplinary Optimization","69","7","169","","","0","10.1007/s00158-026-04369-9","https://www.scopus.com/pages/publications/105042368380?origin=resultslist","Article","Final","","Scopus","2-s2.0-105042368380"
"Mongkondatsawat T.; Sokai N.; Pleasai P.; Raothanachonkun P.; Indra-Payoong N.","Mongkondatsawat, Tanakorn (60600287200); Sokai, Namchai (60503202700); Pleasai, Panthip (60600063800); Raothanachonkun, Pairoj (23486325100); Indra-Payoong, Nakorn (24467991700)","60600287200; 60503202700; 60600063800; 23486325100; 24467991700","Performance Evaluation of Lane Change Maneuvers in Self-Driving Vehicles: A Simulation-Based Approach","2026","KST 2026 - 18th International Conference on Knowledge and Smart Technology","","","","307","313","0","10.1109/KST67832.2026.11432371","https://www.scopus.com/pages/publications/105036852632?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036852632"
"Silwal S.; Gao J.; Varghese S.; Hoskere V.","Silwal, Saurav (59198018300); Gao, Joshua (59510510300); Varghese, Subin (57914843300); Hoskere, Vedhus (57191162132)","59198018300; 59510510300; 57914843300; 57191162132","PE Civil Bench: Advancing Agentic Retrieval-Augmented Generation Performance of Large Language Models on Exam Problems and Automated Component Design","2026","Computer-Aided Civil and Infrastructure Engineering","49","","100126","","","0","10.1016/j.cacaie.2026.100126","https://www.scopus.com/pages/publications/105042650930?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105042650930"
"Sardar M.U.; Moustafa M.; Aura T.","Sardar, Muhammad Usama (57190031410); Moustafa, Mariam (58348295900); Aura, Tuomas (6602926509)","57190031410; 58348295900; 6602926509","Identity Crisis in Confidential Computing: Formal Analysis of Attested TLS","2026","ASIA CCS 2026 - Proceedings of the 21st ACM ASIA Conference on Computer and Communications Security","","","","547","560","2","10.1145/3779208.3785387","https://www.scopus.com/pages/publications/105042489821?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042489821"
"Khan J.A.; Khan M.A.; Saeed N.; Cayrel P.-L.; Hahn C.","Khan, Junaid Ahmad (58180732700); Khan, Muhammad Asif (60131719400); Saeed, Nasir (56622571900); Cayrel, Pierre-Louis (23395829400); Hahn, Changhee (56452418100)","58180732700; 60131719400; 56622571900; 23395829400; 56452418100","Intrusion Detection Systems for In-Vehicle Networks: Protocols, Applications, and Challenges","2025","IEEE Access","13","","","215219","215250","5","10.1109/ACCESS.2025.3645058","https://www.scopus.com/pages/publications/105025461407?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025461407"
"Ahmed Zahrani A.","Ahmed Zahrani, Aida (60320584700)","60320584700","Artificial Intelligence for Employee Growth: A Unified Model of Factors Influencing AI-Supported Staff Development Through SEM Analysis","2026","IEEE Access","14","","","375","397","2","10.1109/ACCESS.2025.3647788","https://www.scopus.com/pages/publications/105025986107?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025986107"
"Goshtasbi A.; Zhao R.; Neubauer J.","Goshtasbi, Alireza (57189461812); Zhao, Ruxiu (56704142600); Neubauer, Jeremy (22951144900)","57189461812; 56704142600; 22951144900","Battery State Estimation for High Power Safety Critical Settings with Application to eVTOL Aircraft","2026","Journal of Dynamic Systems, Measurement and Control ","148","1","011015","","","0","10.1115/1.4069950","https://www.scopus.com/pages/publications/105021873151?origin=resultslist","Article","Final","","Scopus","2-s2.0-105021873151"
"Liu S.; Lester D.; Song H.; Damai A.; Narman H.S.; Alzarrad A.; Zhu P.","Liu, Shiyu (60411754400); Lester, Dylan (59772175600); Song, Hwapyeong (57465486400); Damai, Aayush (60416556300); Narman, Husnu S. (55693970500); Alzarrad, Ammar (57393006000); Zhu, Pingping (53864458400)","60411754400; 59772175600; 57465486400; 60416556300; 55693970500; 57393006000; 53864458400","Depth-Enhanced YOLO-SAM2 Detection for Reliable Ballast Insufficiency Identification","2026","2026 IEEE World AI IoT Congress, AIIoT 2026","","","","522","528","0","10.1109/AIIoT68874.2026.11569538","https://www.scopus.com/pages/publications/105044189921?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105044189921"
"Rawat A.; Sharma A.; Awasthi A.K.; Sharma A.; Tiang S.S.; Lim W.H.","Rawat, Arvind (58629388500); Sharma, Abhinav (57838606300); Awasthi, Abhishek Kumar (57044298200); Sharma, Abhishek (57224555082); Tiang, Sew Sun (51562701600); Lim, Wei Hong (57224979685)","58629388500; 57838606300; 57044298200; 57224555082; 51562701600; 57224979685","Review of Recent Trends in Sensing Methodologies and AI Techniques for Non-Cooperative Aerial Target Recognition","2026","International Journal of Mathematical, Engineering and Management Sciences","11","2","","566","611","0","10.33889/IJMEMS.2026.11.2.024","https://www.scopus.com/pages/publications/105033721223?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033721223"
"You H.; Jia Y.; Wang Y.","You, Huijun (60592140500); Jia, Yuchen (60592088800); Wang, Yongming (60592032900)","60592140500; 60592088800; 60592032900","Standards and Interoperability Profiles for 6G Wearable Health Monitoring: A Reference Architecture for Intelligent Sports Applications","2026","IEEE Communications Standards Magazine","","","","","","0","10.1109/MCOMSTD.2026.3675652","https://www.scopus.com/pages/publications/105036433082?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105036433082"
"Teng J.; Li Y.; Bian Y.; Hu M.; Hu Y.; Li G.; Wang J.","Teng, Jingjia (59720992400); Li, Yang (59070113700); Bian, Yougang (56723522800); Hu, Manjiang (59916043100); Hu, Yingbai (57188985422); Li, Guofa (56029730000); Wang, Jianqiang (56029075500)","59720992400; 59070113700; 56723522800; 59916043100; 57188985422; 56029730000; 56029075500","Multimodal Classification Network Guided Trajectory Planning for 4WIS Autonomous Parking Considering Obstacle Attributes","2026","IEEE Internet of Things Journal","13","12","","26666","26681","0","10.1109/JIOT.2026.3678248","https://www.scopus.com/pages/publications/105034419739?origin=resultslist","Article","Final","","Scopus","2-s2.0-105034419739"
"Ojan M.-P.; Lara-Navarra P.; Sanz-Martos S.","Ojan, Marina-Paola (58163160900); Lara-Navarra, Pablo (16480589000); Sanz-Martos, Sandra (55934921900)","58163160900; 16480589000; 55934921900","Bridging Communication Studies and Employability: ESCO-Based Curriculum Mapping and Job-Vacancy Skill Signals","2026","Education Sciences","16","4","606","","","1","10.3390/educsci16040606","https://www.scopus.com/pages/publications/105037075134?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037075134"
"Parlov N.; Luša R.; Akrap G.","Parlov, Natalija (59233944100); Luša, Riko (56082332900); Akrap, Gordan (57556529400)","59233944100; 56082332900; 57556529400","AI-Enabled Technical Exposure Risk (ATER): From Public Technical Disclosures to Exposure Intelligence for Cybersecurity Resilience","2026","Future Internet","18","8","414","","","0","10.3390/fi18080414","https://www.scopus.com/pages/publications/105048240771?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105048240771"
"Satka Z.; Ashjaei M.; Nord J.; Mayta W.R.; Nordin D.; Ragnarsson D.; Mubeen S.","Satka, Zenepe (57737734500); Ashjaei, Mohammad (55363240900); Nord, Josefina (60030610500); Mayta, William Rosales (60030465400); Nordin, Didrik (59510923900); Ragnarsson, Daniel (59511051100); Mubeen, Saad (35148155000)","57737734500; 55363240900; 60030610500; 60030465400; 59510923900; 59511051100; 35148155000","Bridging TSN and 5G networks: Prototype design and evaluation for real-time embedded systems","2025","Journal of Systems Architecture","168","","103531","","","4","10.1016/j.sysarc.2025.103531","https://www.scopus.com/pages/publications/105012596105?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012596105"
"Konstantinidi S.; Vatsanidou A.; Anestis V.; Katsoulas N.; Bartzanas T.","Konstantinidi, Styliani (58171969900); Vatsanidou, Anna (47961600100); Anestis, Vasileios (56998696900); Katsoulas, Nikolaos (8345216100); Bartzanas, Thomas (8669579200)","58171969900; 47961600100; 56998696900; 8345216100; 8669579200","Environmental Performance of Circular Cascade Hydroponic Systems: A PEFCR-Based Comparative Life Cycle Assessment of Greenhouse Cucumber and Melon Production","2026","Sustainability (Switzerland)","18","11","5477","","","0","10.3390/su18115477","https://www.scopus.com/pages/publications/105041462938?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041462938"
"Javadi A.; Moosapour S.H.; Chaichaowarat R.","Javadi, Ali (55510083000); Moosapour, Seyed Hamze (57206252344); Chaichaowarat, Ronnapee (55813237300)","55510083000; 57206252344; 55813237300","Root barrier function-based adaptive sliding mode control for serial variable stiffness actuators","2026","Journal of the Franklin Institute","363","7","108616","","","1","10.1016/j.jfranklin.2026.108616","https://www.scopus.com/pages/publications/105034729735?origin=resultslist","Article","Final","","Scopus","2-s2.0-105034729735"
"Zhang H.; Sid'El Moctar S.M.; Boudaoud S.; Rida I.","Zhang, Honglei (57572799600); Sid'El Moctar, Sidi Mohamed (58519215600); Boudaoud, Sofiane (9534663900); Rida, Imad (56241583700)","57572799600; 58519215600; 9534663900; 56241583700","A comprehensive review of sEMG-IMU sensor fusion for upper limb movements pattern recognition","2026","Information Fusion","125","","103422","","","18","10.1016/j.inffus.2025.103422","https://www.scopus.com/pages/publications/105009950282?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009950282"
"Verma R.; Yadav M.","Verma, Rajneesh (60402609100); Yadav, Manisha (56251926900)","60402609100; 56251926900","Energy-Efficient Trust Evaluation Model for Resource-Constrained Intelligent IoT Systems","2026","Lecture Notes in Networks and Systems","1794 LNNS","","","328","340","0","10.1007/978-3-032-15398-2_25","https://www.scopus.com/pages/publications/105030339387?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105030339387"
"Riouali Y.; Rabhi A.","Riouali, Youness (57188697235); Rabhi, Ayoub (59135737800)","57188697235; 59135737800","A Blockchain-Driven Approach to Enhancing Transparency and Traceability in Organic Food Supply Chain Management","2026","Applied Computational Intelligence and Soft Computing","2026","1","3114851","","","3","10.1155/acis/3114851","https://www.scopus.com/pages/publications/105029109225?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029109225"
"Guthrie M.; Walsh M.M.; Travis K.A.; Boston S.R.; Caballero D.L.; Dinger D.D.; Elsarboukh G.; Hetrick J.M.; Savici A.T.; Peterson P.F.","Guthrie, M. (7004863081); Walsh, M.M. (60227662900); Travis, K.A. (60227590100); Boston, S.R. (56711763700); Caballero, D.L. (60227701400); Dinger, D.D. (60227479500); Elsarboukh, G. (58119430800); Hetrick, J.M. (35731406500); Savici, A.T. (6602262893); Peterson, P.F. (7402598782)","7004863081; 60227662900; 60227590100; 56711763700; 60227701400; 60227479500; 58119430800; 35731406500; 6602262893; 7402598782","SNAPRed: Reduction of multidimensional neutron time-of-flight diffraction data","2026","SoftwareX","33","","102464","","","2","10.1016/j.softx.2025.102464","https://www.scopus.com/pages/publications/105024073287?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024073287"
"Zhang W.; Zhang J.; Xiao Z.","Zhang, Wan (60309841900); Zhang, Jie (60310022000); Xiao, Ziang (60310714500)","60309841900; 60310022000; 60310714500","Research on a Machine Learning-Based Personalized Learning Path Generation Model for Accounting Education","2025","Proceedings of 2025 2nd International Symposium on Artificial Intelligence for Education, ISAIE 2025","","","","643","651","1","10.1145/3775073.3775174","https://www.scopus.com/pages/publications/105026923627?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026923627"
"Yang Y.; Jin S.; Roncoli C.; Angeloudis P.; Hu S.","Yang, Yuanbo (60394134200); Jin, Sheng (55214223800); Roncoli, Claudio (43661662200); Angeloudis, Panagiotis (13403492800); Hu, Simon (56043235300)","60394134200; 55214223800; 43661662200; 13403492800; 56043235300","GUIDE: Generalizable Trajectory Prediction Using Intention-Aware Diffusion With Efficiency","2026","IEEE Transactions on Intelligent Transportation Systems","","","","","","0","10.1109/TITS.2026.3697792","https://www.scopus.com/pages/publications/105041974648?origin=resultslist","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-105041974648"
"Sebastia'N-Lombrana A.; Ortiz L.; Etcheverry S.; Villegas A.; Cresta J.; Cofano M.; Martin V.","Sebastia'N-Lombrana, Alberto (60661618300); Ortiz, Laura (57534982700); Etcheverry, Sebastian (59265851300); Villegas, Arturo (57222106035); Cresta, Josefina (59940811300); Cofano, Marco (60422014500); Martin, Vicente (57208786991)","60661618300; 57534982700; 59265851300; 57222106035; 59940811300; 60422014500; 57208786991","CV-QKD Security Improvement Through SNMP-Based Quantum-Network Management","2026","Proceedings - 2026 International Conference on Quantum Communications, Networking, and Computing, QCNC 2026","","","","385","386","0","10.1109/QCNC69040.2026.00069","https://www.scopus.com/pages/publications/105040794183?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040794183"
"Dappa T.O.; Anunobi S.","Dappa, Tamuno Opubo (60798471500); Anunobi, Somtochukwu (59673712200)","60798471500; 59673712200","Architectural Inductive Bias in Knowledge Distillation: Disentangling Representational Similarity from Performance Transfer","2026","12th 2026 International Conference on Control, Decision and Information Technologies, CoDIT 2026","","","","163","168","0","10.1109/CoDIT70676.2026.11631064","https://www.scopus.com/pages/publications/105047833917?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105047833917"
"Yokus G.","Yokus, Gurol (56938946800)","56938946800","A Multi-Stakeholder Vision for Designing AI-Empowered Teacher Education: Exploring Key Components for Sustainable Institutional Change","2025","Sustainability (Switzerland)","17","21","9815","","","3","10.3390/su17219815","https://www.scopus.com/pages/publications/105021581706?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021581706"
"Yi H.","Yi, Huiyan (60250352500)","60250352500","Progressive Laboratory Teaching Based on Data-oriented Thinking and Cognitive Load Regulation Empowered by AI","2025","Proceedings of The 2nd International Conference on Intelligent Education and Computer Technology, IECT 2025","","","","178","188","0","10.1145/3764206.3764233","https://www.scopus.com/pages/publications/105025572246?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025572246"
"Lu S.; Lu Y.; Guo J.; Li J.","Lu, Shanshan (59641849100); Lu, Yan (55615730100); Guo, Jinliang (57279138800); Li, Jiabin (60754503700)","59641849100; 55615730100; 57279138800; 60754503700","A Multi-Scale Accounting Method for Electricity Carbon Emission Factors from Annual Averages to Hourly Profiles","2026","2026 IEEE 3rd International Conference on Electrical Power Systems and Intelligent Control, EPSIC 2026","","","","","","0","10.1109/EPSIC70071.2026.11590599","https://www.scopus.com/pages/publications/105045525816?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105045525816"
"Yao X.; Yang X.; Sun J.; Xie L.; Shao X.; Fang X.; Su H.; Yang K.","Yao, Xuemei (58114225700); Yang, Xiao (57219635268); Sun, Jianbin (55831935200); Xie, Liuwei (58994054800); Shao, Xuebin (57205671931); Fang, Xiyu (57216282104); Su, Hang (37017428500); Yang, Kewei (8389088600)","58114225700; 57219635268; 55831935200; 58994054800; 57205671931; 57216282104; 37017428500; 8389088600","ReflexDiffusion: Reflection-Enhanced Trajectory Planning for High-lateral-acceleration Scenarios in Autonomous Driving","2026","Proceedings of the AAAI Conference on Artificial Intelligence","40","22","","18701","18709","0","10.1609/aaai.v40i22.38938","https://www.scopus.com/pages/publications/105035080876?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035080876"
"Sari N.P.; Putro H.Y.S.; Assyauqi M.I.","Sari, Nina Permata (58075282100); Putro, Hendro Yulius Suryo (58932343700); Assyauqi, Moh Iqbal (57215670329)","58075282100; 58932343700; 57215670329","AI-Based Adaptive Career Guidance for Sustainable Transformation in TVET Education","2026","Journal of Artificial Intelligence and Technology","6","","","520","531","0","10.37965/jait.2026.1074","https://www.scopus.com/pages/publications/105041813995?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041813995"
"Pásztor-Kovács A.; Pásztor A.; Liu Y.; Molnár G.","Pásztor-Kovács, Anita (57327313900); Pásztor, Attila (57218910469); Liu, Yong (57776274200); Molnár, Gyöngyvér (36437597600)","57327313900; 57218910469; 57776274200; 36437597600","Self-Assessment of Teamwork Skills Among Adolescents: Psychometric Properties of the Collaborative Skills Scale","2026","Education Sciences","16","1","167","","","1","10.3390/educsci16010167","https://www.scopus.com/pages/publications/105028922409?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028922409"
"Panzavolta A.; Sternini F.; Caffarra P.; De Vita D.; Dodich A.; Fonti C.; L’Abbate F.; Lavorgna L.; Laganà V.; Marra C.; Papagno C.; Ferrari Pellegrini F.; Stracciari A.; Trojano L.; Iaquinta T.; Pandolfi R.; Calore M.; Sanzone S.; Ravizza A.; Cappa S.F.; Cerami C.","Panzavolta, Andrea (57195292184); Sternini, Federico (57208405383); Caffarra, Paolo (7003351095); De Vita, Dalila (57207792210); Dodich, Alessandra (56001713900); Fonti, Cristina (6507848371); L’Abbate, Federica (57392925200); Lavorgna, Luigi (8580671800); Laganà, Valentina (57193822544); Marra, Camillo (7102675596); Papagno, Costanza (55628589535); Ferrari Pellegrini, Francesca (57210700236); Stracciari, Andrea (7003997181); Trojano, Luigi (57207799550); Iaquinta, Tiziana (58891389800); Pandolfi, Roberta (58891837900); Calore, Monica (58890937500); Sanzone, Sveva (59018121000); Ravizza, Alice (57192917283); Cappa, Stefano F. (7005836132); Cerami, Chiara (25722905400)","57195292184; 57208405383; 7003351095; 57207792210; 56001713900; 6507848371; 57392925200; 8580671800; 57193822544; 7102675596; 55628589535; 57210700236; 7003997181; 57207799550; 58891389800; 58891837900; 58890937500; 59018121000; 57192917283; 7005836132; 25722905400","Accelerating digital innovation in clinical neuropsychology: simulation approach to support medical device certification","2026","Frontiers in Digital Health","7","","1646694","","","0","10.3389/fdgth.2025.1646694","https://www.scopus.com/pages/publications/105031519830?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031519830"
"Khaled Q.; Mallak B.; Kaymak U.; Genga L.","Khaled, Qusai (59940192500); Mallak, Bahjat (60362831800); Kaymak, Uzay (7004385524); Genga, Laura (55586639800)","59940192500; 60362831800; 7004385524; 55586639800","Explainable Uncertainty Quantification for Wastewater Treatment Energy Prediction via Interval Type-2 Neuro-Fuzzy System","2026","Communications in Computer and Information Science","3020 CCIS","","","392","406","0","10.1007/978-3-032-28997-1_28","https://www.scopus.com/pages/publications/105042269859?origin=resultslist","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105042269859"
"Tanhaei M.","Tanhaei, Mohammad (60795077600)","60795077600","MedNegotiator: Automating requirements negotiation in healthcare; simulating clinical and technical perspectives using Generative AI agents","2026","Array","30","","100783","","","0","10.1016/j.array.2026.100783","https://www.scopus.com/pages/publications/105034565213?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105034565213"
"Sirigu G.; Burastero A.; Armando A.","Sirigu, Giorgia (57865882200); Burastero, Alessandro (14321345100); Armando, Alessandro (57190072464)","57865882200; 14321345100; 57190072464","Risk-based Authorization in Safety Critical Microservice Architectures","2026","CEUR Workshop Proceedings","4198","","","","","0","","https://www.scopus.com/pages/publications/105042443711?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105042443711"
