Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Effect Polymorphism in Higher-Order Logic (Proof Pearl),Journal of Automated Reasoning,,,,10.1007/s10817-018-9476-2,Andreas Lochbihler,2018,https://link.springer.com/article/10.1007/s10817-018-9476-2,Article
An Operational Semantics for Constraint-Logic Imperative Programming,Declarative Programming and Knowledge Management,,,,10.1007/978-3-030-00801-7_5,Jan C. DagefördeHerbert Kuchen,2018,https://link.springer.com/chapter/10.1007/978-3-030-00801-7_5,Conference paper
Algebraic Compilation of Safety-Critical Java Bytecode,Integrated Formal Methods,,,,10.1007/978-3-319-66845-1_11,James BaxterAna Cavalcanti,2017,https://link.springer.com/chapter/10.1007/978-3-319-66845-1_11,Conference paper
Slicing from formal semantics: Chisel—a tool for generic program slicing,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0500-y,Irina Măriuca AsăvoaeMihail AsăvoaeAdrián Riesco,2018,https://link.springer.com/article/10.1007/s10009-018-0500-y,Article
Automated translation of VDM to JML-annotated Java,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0448-3,Peter W. V. Tran-JørgensenPeter Gorm LarsenGary T. Leavens,2017,https://link.springer.com/article/10.1007/s10009-017-0448-3,Article
An Introduction to UMLPDSV for Real-Time Dynamic Signature Verification,Information and Software Technologies,,,,10.1007/978-3-319-99972-2_32,Fatima SameaMuhammad Waseem AnwarFarooque AzamMehreen KhanMuhammad Fahad Shinwari,2018,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_32,Conference paper
Striver: Stream Runtime Verification for Real-Time Event-Streams,Runtime Verification,,,,10.1007/978-3-030-03769-7_16,Felipe GorostiagaCésar Sánchez,2018,https://link.springer.com/chapter/10.1007/978-3-030-03769-7_16,Conference paper
Solving Large Markov Models Described with Standard Programming Language,Computer and Information Sciences,,,,10.1007/978-3-030-00840-6_7,P. PeckaM. P. NowakA. RatajS. Nowak,2018,https://link.springer.com/chapter/10.1007/978-3-030-00840-6_7,Conference paper
An Arithmetic Semantics for GRL Goal Models with Function Generation,"System Analysis and Modeling. Languages, Methods, and Tools for Systems Engineering",,,,10.1007/978-3-030-01042-3_9,Yuxuan FanAmal Ahmed AndaDaniel Amyot,2018,https://link.springer.com/chapter/10.1007/978-3-030-01042-3_9,Conference paper
A Comparative Study of Decision Diagrams for Real-Time Model Checking,Model Checking Software,,,,10.1007/978-3-319-94111-0_13,Omar Al-BatainehMark ReynoldsDavid Rosenblum,2018,https://link.springer.com/chapter/10.1007/978-3-319-94111-0_13,Conference paper
METIS: Resource and Context-Aware Monitoring of Finite State Properties,Runtime Verification,,,,10.1007/978-3-030-03769-7_10,Garvita AllabadiAritra DharAmbreen BashirRahul Purandare,2018,https://link.springer.com/chapter/10.1007/978-3-030-03769-7_10,Conference paper
Model extraction and test generation from JUnit test suites,Software Quality Journal,,,,10.1007/s11219-017-9399-x,Pablo Lamela SeijasSimon ThompsonMiguel Ángel Francisco,2018,https://link.springer.com/article/10.1007/s11219-017-9399-x,Article
Complexity Analysis for Java with AProVE,Integrated Formal Methods,,,,10.1007/978-3-319-66845-1_6,Florian FrohnJürgen Giesl,2017,https://link.springer.com/chapter/10.1007/978-3-319-66845-1_6,Conference paper
"Runtime verification of autopilot systems using a fragment of MTL-<span class=""mathjax-tex"">\({\int }\)</span>
        ",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0470-5,André de Matos PedroJorge Sousa PintoDavid PereiraLuís Miguel Pinho,2017,https://link.springer.com/article/10.1007/s10009-017-0470-5,Article
Java in the Safety-Critical Domain,Engineering Trustworthy Software Systems,,,,10.1007/978-3-319-56841-6_4,Ana CavalcantiAlvaro MiyazawaAndy WellingsJim WoodcockShuai Zhao,2017,https://link.springer.com/chapter/10.1007/978-3-319-56841-6_4,Conference paper
Using UML/MARTE to support performance tuning and stress testing in real-time systems,Software & Systems Modeling,,,,10.1007/s10270-017-0585-x,Stefano Di AlesioSagar Sen,2017,https://link.springer.com/article/10.1007/s10270-017-0585-x,Article
Synthesis of verifiable concurrent Java components from formal models,Software & Systems Modeling,,,,10.1007/s10270-017-0581-1,Julio MariñoRaúl N. N. AlborodoLars-Åke FredlundÁngel Herranz,2017,https://link.springer.com/article/10.1007/s10270-017-0581-1,Article
Exploring output-based coverage for testing PHP web applications,Automated Software Engineering,,,,10.1007/s10515-018-0246-5,Hung Viet NguyenHung Dang PhanChristian KästnerTien N. Nguyen,2018,https://link.springer.com/article/10.1007/s10515-018-0246-5,Article
Volume-Based Merge Heuristics for Disjunctive Numeric Domains,Static Analysis,,,,10.1007/978-3-319-99725-4_23,Andrew RuefKesha HietalaArlen Cox,2018,https://link.springer.com/chapter/10.1007/978-3-319-99725-4_23,Conference paper
An Approach to Reachability Determination for Static Analysis Defects with the Help of Dynamic Symbolic Execution,Programming and Computer Software,,,,10.1134/S0361768818060051,A. Yu. GerasimovL. V. KruglovM. K. ErmakovS. P. Vartanov,2018,https://link.springer.com/article/10.1134/S0361768818060051,Article
Can We Monitor All Multithreaded Programs?,Runtime Verification,,,,10.1007/978-3-030-03769-7_6,Antoine El-HokayemYliès Falcone,2018,https://link.springer.com/chapter/10.1007/978-3-030-03769-7_6,Conference paper
Software Is Not Soft,Engineering Trustworthy Software Systems,,,,10.1007/978-3-030-02928-9_5,Xiaoxing MaTianxiao GuWei Song,2018,https://link.springer.com/chapter/10.1007/978-3-030-02928-9_5,Conference paper
"Modular, Correct Compilation with Automatic Soundness Proofs","Leveraging Applications of Formal Methods, Verification and Validation. Modeling",,,,10.1007/978-3-030-03418-4_25,Dominic SteinhöfelReiner Hähnle,2018,https://link.springer.com/chapter/10.1007/978-3-030-03418-4_25,Conference paper
Comparing approaches for model-checking strategies under imperfect information and fairness constraints,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0505-6,Simon BusardCharles PecheurHongyang QuFranco Raimondi,2018,https://link.springer.com/article/10.1007/s10009-018-0505-6,Article
Unit Testing of Database-Driven Java Enterprise Edition Applications,Tests and Proofs,,,,10.1007/978-3-319-61467-0_4,Andreas FuchsHerbert Kuchen,2017,https://link.springer.com/chapter/10.1007/978-3-319-61467-0_4,Conference paper
CREST - A DSL for Reactive Cyber-Physical Systems,"System Analysis and Modeling. Languages, Methods, and Tools for Systems Engineering",,,,10.1007/978-3-030-01042-3_3,Stefan KlikovitsAlban LinardDidier Buchs,2018,https://link.springer.com/chapter/10.1007/978-3-030-01042-3_3,Conference paper
"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack",Empirical Software Engineering,,,,10.1007/s10664-018-9635-4,Axel HalinAlexandre NuttinckMathieu AcherXavier DevroeyGilles PerrouinBenoit Baudry,2018,https://link.springer.com/article/10.1007/s10664-018-9635-4,Article
Concolic Testing of Functional Logic Programs,Declarative Programming and Knowledge Management,,,,10.1007/978-3-030-00801-7_11,Jan Rasmus Tikovsky,2018,https://link.springer.com/chapter/10.1007/978-3-030-00801-7_11,Conference paper
High-level frameworks for the specification and verification of scheduling problems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0466-1,Mounir ChadliJin H. KimKim G. LarsenAxel LegayStefan NaujokatBernhard SteffenLouis-Marie Traonouez,2017,https://link.springer.com/article/10.1007/s10009-017-0466-1,Article
Refinement to Certify Abstract Interpretations: Illustrated on Linearization for Polyhedra,Journal of Automated Reasoning,,,,10.1007/s10817-018-9492-2,Sylvain BoulméAlexandre Maréchal,2018,https://link.springer.com/article/10.1007/s10817-018-9492-2,Article
Model-Checking Task Parallel Programs for Data-Race,NASA Formal Methods,,,,10.1007/978-3-319-77935-5_25,Radha NakadeEric MercerPeter AldousJay McCarthy,2018,https://link.springer.com/chapter/10.1007/978-3-319-77935-5_25,Conference paper
Automata vs Linear-Programming Discounted-Sum Inclusion,Computer Aided Verification,,,,10.1007/978-3-319-96142-2_9,Suguman BansalSwarat ChaudhuriMoshe Y. Vardi,2018,https://link.springer.com/chapter/10.1007/978-3-319-96142-2_9,Conference paper
Symbolic Computation via Program Transformation,Theoretical Aspects of Computing – ICTAC 2018,,,,10.1007/978-3-030-02508-3_17,Henrich LaukoPetr RočkaiJiří Barnat,2018,https://link.springer.com/chapter/10.1007/978-3-030-02508-3_17,Conference paper
Program Verification by Coinduction,Programming Languages and Systems,,,,10.1007/978-3-319-89884-1_21,Brandon MooreLucas PeñaGrigore Rosu,2018,https://link.springer.com/chapter/10.1007/978-3-319-89884-1_21,Conference paper
<span>TestREx</span>: a framework for repeatable exploits,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0474-1,Stanislav DashevskyiDaniel Ricardo dos SantosFabio MassacciAntonino Sabetta,2017,https://link.springer.com/article/10.1007/s10009-017-0474-1,Article
Do automated program repair techniques repair hard and important bugs?,Empirical Software Engineering,,,,10.1007/s10664-017-9550-0,Manish MotwaniSandhya SankaranarayananRené JustYuriy Brun,2017,https://link.springer.com/article/10.1007/s10664-017-9550-0,Article
Design of Embedded Systems with Complex Task Dependencies and Shared Resource Interference (Short Paper),Software Engineering and Formal Methods,,,,10.1007/978-3-319-66197-1_28,Fotios GioulekasPeter PoplavkoRany KahilPanagiotis KatsarosMarius BozgaSaddek BensalemPedro Palomo,2017,https://link.springer.com/chapter/10.1007/978-3-319-66197-1_28,Conference paper
"First international Competition on Runtime Verification: rules, benchmarks, tools, and final results of CRV 2014",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0454-5,Ezio BartocciYliès FalconeBorzoo BonakdarpourChristian ColomboNormann DeckerKlaus HavelundYogi JoshiFelix KlaedtkeReed MilewiczGiles RegerGrigore RosuJulien SignolesDaniel ThomaEugen ZalinescuYi Zhang,2017,https://link.springer.com/article/10.1007/s10009-017-0454-5,Article
TCE+: An Extension of the TCE Method for Detecting Equivalent Mutants in Java Programs,Fundamentals of Software Engineering,,,,10.1007/978-3-319-68972-2_11,Mahdi HoushmandSamad Paydar,2017,https://link.springer.com/chapter/10.1007/978-3-319-68972-2_11,Conference paper
A Tutorial on Using and Extending the EvoSuite Search-Based Test Generator,Search-Based Software Engineering,,,,10.1007/978-3-319-99241-9_5,Gordon Fraser,2018,https://link.springer.com/chapter/10.1007/978-3-319-99241-9_5,Conference paper
Towards Verification of Ethereum Smart Contracts: A Formalization of Core of Solidity,"Verified Software. Theories, Tools, and Experiments",,,,10.1007/978-3-030-03592-1_13,Jakub Zakrzewski,2018,https://link.springer.com/chapter/10.1007/978-3-030-03592-1_13,Conference paper
Model-based testing of software for automation systems using heuristics and coverage criterion,Software & Systems Modeling,,,,10.1007/s10270-018-0690-5,Rodrigo José Sarmento PeixotoLeandro Dias da SilvaAngelo Perkusich,2018,https://link.springer.com/article/10.1007/s10270-018-0690-5,Article
A Real-Time Assessment of Programming Through Debugging Log Analytic,Emerging Technologies for Education,,,,10.1007/978-3-319-71084-6_51,Yu-Lin JengQing TanYu ShuSheng-Bo Huang,2017,https://link.springer.com/chapter/10.1007/978-3-319-71084-6_51,Conference paper
hacspec: Towards Verifiable Crypto Standards,Security Standardisation Research,,,,10.1007/978-3-030-04762-7_1,Karthikeyan BhargavanFranziskus KieferPierre-Yves Strub,2018,https://link.springer.com/chapter/10.1007/978-3-030-04762-7_1,Conference paper
Performance Evaluation of Dynamic Load Balancing Protocols Based on Formal Models in Cloud Environments,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-00359-3_5,Roua Ben HamoudaSabrine BoussemaImene Ben HafaiedhRiadh Robbana,2018,https://link.springer.com/chapter/10.1007/978-3-030-00359-3_5,Conference paper
Correctness of a Concurrent Object Collector for Actor Languages,Programming Languages and Systems,,,,10.1007/978-3-319-89884-1_31,Juliana FrancoSylvan ClebschSophia DrossopoulouJan VitekTobias Wrigstad,2018,https://link.springer.com/chapter/10.1007/978-3-319-89884-1_31,Conference paper
Parallel Reachability Testing Based on Hadoop MapReduce,"Software Analysis, Testing, and Evolution",,,,10.1007/978-3-030-04272-1_11,Xiaofang QiYueran Li,2018,https://link.springer.com/chapter/10.1007/978-3-030-04272-1_11,Conference paper
Formalising Executable Specifications of Low-Level Systems,"Verified Software. Theories, Tools, and Experiments",,,,10.1007/978-3-030-03592-1_9,Paolo TorriniDavid NowakNarjes JomaaMohamed Sami Cherif,2018,https://link.springer.com/chapter/10.1007/978-3-030-03592-1_9,Conference paper
A Survey on Model-Based Testing Tools for Test Case Generation,Tools and Methods of Program Analysis,,,,10.1007/978-3-319-71734-0_7,Wenbin LiFranck Le GallNaum Spaseski,2018,https://link.springer.com/chapter/10.1007/978-3-319-71734-0_7,Conference paper
<i>GreenScaler</i>: training software energy models with automatic test generation,Empirical Software Engineering,,,,10.1007/s10664-018-9640-7,Shaiful ChowdhuryStephanie BorleStephen RomanskyAbram Hindle,2018,https://link.springer.com/article/10.1007/s10664-018-9640-7,Article
Velisarios: Byzantine Fault-Tolerant Protocols Powered by Coq,Programming Languages and Systems,,,,10.1007/978-3-319-89884-1_22,Vincent RahliIvana VukoticMarcus VölpPaulo Esteves-Verissimo,2018,https://link.springer.com/chapter/10.1007/978-3-319-89884-1_22,Conference paper
The Refinement Calculus of Reactive Systems Toolset,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-319-89963-3_12,Iulia DragomirViorel PreoteasaStavros Tripakis,2018,https://link.springer.com/chapter/10.1007/978-3-319-89963-3_12,Conference paper
Integrated Simulation and Formal Verification of a Simple Autonomous Vehicle,Software Engineering and Formal Methods,,,,10.1007/978-3-319-74781-1_21,Andrea DomeniciAdriano FagioliniMaurizio Palmieri,2018,https://link.springer.com/chapter/10.1007/978-3-319-74781-1_21,Conference paper
Verifying Nested Lock Priority Inheritance in RTEMS with Java Pathfinder,Formal Methods and Software Engineering,,,,10.1007/978-3-319-47846-3_26,Saurabh GadiaCyrille ArthoGedare Bloom,2016,https://link.springer.com/chapter/10.1007/978-3-319-47846-3_26,Conference paper
Asynchronous multi-process timed automata,Software Quality Journal,,,,10.1007/s11219-017-9380-8,Guoqiang LiLi LiuAkira Fukuda,2017,https://link.springer.com/article/10.1007/s11219-017-9380-8,Article
An approach for applying Test-Driven Development (TDD) in the development of randomized algorithms,Journal of Software Engineering Research and Development,,,,10.1186/s40411-018-0053-5,André A. S. IvoEduardo M. GuerraSandy M. PortoJoelma ChomaMarcos G. Quiles,2018,https://link.springer.com/article/10.1186/s40411-018-0053-5,Article
Runtime Verification - 17 Years Later,Runtime Verification,,,,10.1007/978-3-030-03769-7_1,Klaus HavelundGrigore Roşu,2018,https://link.springer.com/chapter/10.1007/978-3-030-03769-7_1,Conference paper
Automated Workarounds from Java Program Specifications Based on SAT Solving,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-662-54494-5_20,Marcelo UvaPablo PonzioGermán RegisNazareno AguirreMarcelo F. Frias,2017,https://link.springer.com/chapter/10.1007/978-3-662-54494-5_20,Conference paper
A Framework for Analyzing Adaptive Autonomous Aerial Vehicles,Software Engineering and Formal Methods,,,,10.1007/978-3-319-74781-1_28,Ian A. MasonVivek NigamCarolyn TalcottAlisson Brito,2018,https://link.springer.com/chapter/10.1007/978-3-319-74781-1_28,Conference paper
How verified (or tested) is my code? Falsification-driven verification and testing,Automated Software Engineering,,,,10.1007/s10515-018-0240-y,Alex GroceIftekhar AhmedCarlos JensenPaul E. McKenneyJosie Holmes,2018,https://link.springer.com/article/10.1007/s10515-018-0240-y,Article
Inductive verification of data model invariants in web applications using first-order logic,Automated Software Engineering,,,,10.1007/s10515-018-0249-2,Ivan BocićTevfik BultanNicolás Rosner,2018,https://link.springer.com/article/10.1007/s10515-018-0249-2,Article
"A Non-unified View of Modelling, Specification and Programming","Leveraging Applications of Formal Methods, Verification and Validation. Modeling",,,,10.1007/978-3-030-03418-4_4,Stefan HallerstedePeter Gorm LarsenJohn Fitzgerald,2018,https://link.springer.com/chapter/10.1007/978-3-030-03418-4_4,Conference paper
A Model Interpreter for Timed Automata,"Leveraging Applications of Formal Methods, Verification and Validation: Foundational Techniques",,,,10.1007/978-3-319-47166-2_17,M. Usman IftikharJonas LundbergDanny Weyns,2016,https://link.springer.com/chapter/10.1007/978-3-319-47166-2_17,Conference paper
Automatic Refinement to Efficient Data Structures: A Comparison of Two Approaches,Journal of Automated Reasoning,,,,10.1007/s10817-018-9461-9,Peter LammichAndreas Lochbihler,2018,https://link.springer.com/article/10.1007/s10817-018-9461-9,Article
CloudPT: Performance Testing for Identifying and Detecting Bottlenecks in IaaS,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-030-05057-3_33,Ameen AlkasemHongwei LiuDecheng Zuo,2018,https://link.springer.com/chapter/10.1007/978-3-030-05057-3_33,Conference paper
Parallel Model Validation with Epsilon,Modelling Foundations and Applications,,,,10.1007/978-3-319-92997-2_8,Sina MadaniDimitrios S. KolovosRichard F. Paige,2018,https://link.springer.com/chapter/10.1007/978-3-319-92997-2_8,Conference paper
Controlling Cloud-Based Systems for Elasticity Test Reproduction,Cloud Computing and Service Science,,,,10.1007/978-3-319-94959-8_11,Michel AlbonicoJean-Marie MottuGerson SunyéFrederico Alvares,2018,https://link.springer.com/chapter/10.1007/978-3-319-94959-8_11,Conference paper
Extending Constraint-Only Representation of Polyhedra with Boolean Constraints,Static Analysis,,,,10.1007/978-3-319-99725-4_10,Alexey BakhirkinDavid Monniaux,2018,https://link.springer.com/chapter/10.1007/978-3-319-99725-4_10,Conference paper
Capturing Inter-process Communication for Runtime Verification on Android,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_4,Alex VillazónHaiyang SunWalter Binder,2018,https://link.springer.com/chapter/10.1007/978-3-030-03427-6_4,Conference paper
A Formal Framework for Prototyping Executable Semantics in ATL,Theory and Practice of Model Transformation,,,,10.1007/978-3-319-93317-7_8,Artur Boronat,2018,https://link.springer.com/chapter/10.1007/978-3-319-93317-7_8,Conference paper
Test descriptions with ETSI TDL,Software Quality Journal,,,,10.1007/s11219-018-9423-9,Philip MakedonskiGusztáv AdamisMartti KäärikFinn KristoffersenMichele CarignaniAndreas UlrichJens Grabowski,2018,https://link.springer.com/article/10.1007/s11219-018-9423-9,Article
Developing and evolving a DSL-based approach for runtime monitoring of systems of systems,Automated Software Engineering,,,,10.1007/s10515-018-0241-x,Rick RabiserJürgen Thanhofer-PilischMichael VierhauserPaul GrünbacherAlexander Egyed,2018,https://link.springer.com/article/10.1007/s10515-018-0241-x,Article
Anomaly Detection and Diagnosis for Container-Based Microservices with Performance Monitoring,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-030-05063-4_42,Qingfeng DuTiandi XieYu He,2018,https://link.springer.com/chapter/10.1007/978-3-030-05063-4_42,Conference paper
REAL-T: Time Modularization in Reactive Distributed Applications,Advances in Computing,,,,10.1007/978-3-319-98998-3_9,Luis Daniel Benavides NavarroCamilo PimientaMateo SanabriaDaniel DíazWilmer GarzónWillson MeloHugo Arboleda,2018,https://link.springer.com/chapter/10.1007/978-3-319-98998-3_9,Conference paper
A Formal Verification of Safe Update Point Detection in Dynamic Software Updating,Risks and Security of Internet and Systems,,,,10.1007/978-3-319-54876-0_3,Razika LounasNisrine JafriAxel LegayMohamed MezghicheJean-Louis Lanet,2017,https://link.springer.com/chapter/10.1007/978-3-319-54876-0_3,Conference paper
A Survey of High-Performance Computing for Software Verification,Tools and Methods of Program Analysis,,,,10.1007/978-3-319-71734-0_17,Ilja Zakharov,2018,https://link.springer.com/chapter/10.1007/978-3-319-71734-0_17,Conference paper
A Cooperative Approach to Virtual Machine Based Fault Injection,Euro-Par 2016: Parallel Processing Workshops,,,,10.1007/978-3-319-58943-5_54,Thomas NaughtonChristian EngelmannGeoffroy ValléeFerrol AderholdtStephen L. Scott,2017,https://link.springer.com/chapter/10.1007/978-3-319-58943-5_54,Conference paper
Functional Testing of Java Programs,Trends in Functional Programming,,,,10.1007/978-3-319-39110-6_3,Clara Benac EarleLars-Åke Fredlund,2016,https://link.springer.com/chapter/10.1007/978-3-319-39110-6_3,Conference paper
A Modular Environment to Test SCADA Solutions for Wind Parks,"Measurement, Modelling and Evaluation of Computing Systems",,,,10.1007/978-3-319-74947-1_18,Jannik HülsAnne Remke,2018,https://link.springer.com/chapter/10.1007/978-3-319-74947-1_18,Conference paper
Toward Performance Prediction for Multi-BSP Programs in ML,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-030-05057-3_12,Victor AllombertFrédéric GavaJulien Tesson,2018,https://link.springer.com/chapter/10.1007/978-3-030-05057-3_12,Conference paper
Symbolic Execution and Reachability Analysis Using Rewriting Modulo SMT for Spatial Concurrent Constraint Systems with Extrusion,NASA Formal Methods,,,,10.1007/978-3-319-77935-5_29,Miguel RomeroCamilo Rocha,2018,https://link.springer.com/chapter/10.1007/978-3-319-77935-5_29,Conference paper
A Unified Formalism for Monoprocessor Schedulability Analysis Under Uncertainty,Critical Systems: Formal Methods and Automated Verification,,,,10.1007/978-3-319-67113-0_7,Étienne André,2017,https://link.springer.com/chapter/10.1007/978-3-319-67113-0_7,Conference paper
An Android Vulnerability Detection System,Network and System Security,,,,10.1007/978-3-319-64701-2_13,Jiayuan ZhangYao YaoXiaoqi LiJian XieGaofei Wu,2017,https://link.springer.com/chapter/10.1007/978-3-319-64701-2_13,Conference paper
A comparative analysis of soft computing techniques in software fault prediction model development,International Journal of Information Technology,,,,10.1007/s41870-018-0211-3,Deepak SharmaPravin Chandra,2018,https://link.springer.com/article/10.1007/s41870-018-0211-3,Article
Model Checking of C and C++ with DIVINE 4,Automated Technology for Verification and Analysis,,,,10.1007/978-3-319-68167-2_14,Zuzana BaranováJiří BarnatKatarína KejstováTadeáš KučeraHenrich LaukoJan MrázekPetr RočkaiVladimír Štill,2017,https://link.springer.com/chapter/10.1007/978-3-319-68167-2_14,Conference paper
Alleviating patch overfitting with automatic test generation: a study of feasibility and effectiveness for the Nopol repair system,Empirical Software Engineering,,,,10.1007/s10664-018-9619-4,Zhongxing YuMatias MartinezBenjamin DanglotThomas DurieuxMartin Monperrus,2018,https://link.springer.com/article/10.1007/s10664-018-9619-4,Article
Towards formal methods diversity in railways: an experience report with seven frameworks,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0488-3,Franco MazzantiAlessio FerrariGiorgio O. Spagnolo,2018,https://link.springer.com/article/10.1007/s10009-018-0488-3,Article
Implementing MapReduce with MSVL,Structured Object-Oriented Formal Language and Method,,,,10.1007/978-3-319-90104-6_10,Nan ZhangMeng WangZhenhua DuanCong TianJin Cui,2018,https://link.springer.com/chapter/10.1007/978-3-319-90104-6_10,Conference paper
Event-Based Runtime Verification of Temporal Properties Using Time Basic Petri Nets,NASA Formal Methods,,,,10.1007/978-3-319-57288-8_8,Matteo CamilliAngelo GargantiniPatrizia ScandurraCarlo Bellettini,2017,https://link.springer.com/chapter/10.1007/978-3-319-57288-8_8,Conference paper
Continuous Formal Verification of Amazon s2n,Computer Aided Verification,,,,10.1007/978-3-319-96142-2_26,Andrey ChudnovNathan CollinsByron CookJoey DoddsBrian HuffmanColm MacCárthaighStephen MagillEric MertensEric MullenSerdar TasiranAaron TombEddy Westbrook,2018,https://link.springer.com/chapter/10.1007/978-3-319-96142-2_26,Conference paper
Contracts over Smart Contracts: Recovering from Violations Dynamically,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_23,Christian ColomboJoshua EllulGordon J. Pace,2018,https://link.springer.com/chapter/10.1007/978-3-030-03427-6_23,Conference paper
Detecting potential deadlocks through change impact analysis,Software Quality Journal,,,,10.1007/s11219-017-9377-3,Chelsea A. MetcalfTuba Yavuz,2017,https://link.springer.com/article/10.1007/s11219-017-9377-3,Article
