Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Formal Runtime Verification of&#xa0;Avionics Systems Using Level-D Flight Simulator Data and&#xa0;NASA/JPL’s F Prime,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_26,Maria C. Moreno,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_26,Conference paper
Software Verification Witnesses Thoroughness,Programming and Computer Software,,,,10.1134/S0361768826700052,V. O. MordanV. S. Mutilin,2026,https://link.springer.com/article/10.1134/S0361768826700052,Article
Automated formal verification of secure aggregation protocols,Automated Software Engineering,,,,10.1007/s10515-026-00670-5,Yuping YanZicen ZhaoFei MingPéter LigetiYaochu Jin,2026,https://link.springer.com/article/10.1007/s10515-026-00670-5,Article
A Pyramid Of (Formal) Software Verification,Formal Methods,,,,10.1007/978-3-031-71177-0_24,Martin BrainElizabeth Polgreen,2025,https://link.springer.com/chapter/10.1007/978-3-031-71177-0_24,Conference paper
Formal methods in industrial critical systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00815-z,Alessandro CimattiLaura Titolo,2025,https://link.springer.com/article/10.1007/s10009-025-00815-z,Article
AGVTS: Automated Generation and&#xa0;Verification of&#xa0;Temporal Specifications for&#xa0;Aeronautics SCADE Models,Formal Methods,,,,10.1007/978-3-031-71177-0_21,Hanfeng WangZhibin YangYong ZhouXilong WangWeilin DengWei Li,2025,https://link.springer.com/chapter/10.1007/978-3-031-71177-0_21,Conference paper
Guided Integration of&#xa0;Formal Verification in&#xa0;Assurance Cases,Formal Methods and Software Engineering,,,,10.1007/978-981-99-7584-6_11,Irfan SljivoEwen DenneyJonathan Menzies,2023,https://link.springer.com/chapter/10.1007/978-981-99-7584-6_11,Conference paper
Formal Verification of&#xa0;PLCs as&#xa0;a&#xa0;Service: A CERN-GSI Safety-Critical Case Study,NASA Formal Methods,,,,10.1007/978-3-031-93706-4_13,Ignacio D. Lopez-MiguelBorja Fernández AdiegoMatias SalinasChristine Betz,2025,https://link.springer.com/chapter/10.1007/978-3-031-93706-4_13,Conference paper
Tools at&#xa0;the&#xa0;Frontiers of&#xa0;Quantitative Verification,TOOLympics Challenge 2023,,,,10.1007/978-3-031-67695-6_4,Roman AndriushchenkoAlexander BorkCarlos E. BuddeMilan ČeškaKush GroverErnst Moritz HahnArnd HartmannsBryant IsraelsenNils JansenJoshua JeppsonSebastian JungesMaximilian A. KöhlBettina KönighoferJan KřetínskýTobias MeggendorferDavid ParkerStefan PrangerTim QuatmannEnno RuijtersLandon TaylorMatthias VolkMaximilian WeiningerZhen Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-67695-6_4,Conference paper
Prove your Colorings: Formal Verification of Cache Coloring of Bao Hypervisor,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-90900-9_11,Axel FerréolLaurent CorbinNikolai Kosmatov,2025,https://link.springer.com/chapter/10.1007/978-3-031-90900-9_11,Conference paper
