Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Finding software vulnerabilities in large C projects via bounded model checking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-026-00838-0,Janislley O. De SousaBruno C. de FariasThales A. Da SilvaNorbert TihanyiRichard A. DubniczkyEddie B. L. FilhoLucas C. Cordeiro,2026,https://link.springer.com/article/10.1007/s10009-026-00838-0,Article
SvLibChecker: A Light-Weight Tool for Software Model Checking,Computer Aided Verification,,,,10.1007/978-3-032-32537-2_12,Dirk BeyerMarian Lingsch-Rosenfeld,2026,https://link.springer.com/chapter/10.1007/978-3-032-32537-2_12,Conference paper
Formal Verification of&#xa0;RISC-V Processor Chisel Designs,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-981-96-0602-3_8,Shidong ShenYicheng LiuLijun ZhangFu SongZhilin Wu,2025,https://link.springer.com/chapter/10.1007/978-981-96-0602-3_8,Conference paper
A Research landscape on formal verification of UML dynamic modeling,The Journal of Supercomputing,,,,10.1007/s11227-025-07464-8,Runfang WuYe DuYu Tang,2025,https://link.springer.com/article/10.1007/s11227-025-07464-8,Article
"CPD<span class=""mathjax-tex"">\(_{\textrm{LTLf}}\)</span> : a linear temporal logic over finite traces guided model checking tool",Software Quality Journal,,,,10.1007/s11219-025-09729-0,Xiangqi ZengMeng WangMiao WangXu Lu,2025,https://link.springer.com/article/10.1007/s11219-025-09729-0,Article
Polyregular Model Checking,Computer Aided Verification,,,,10.1007/978-3-031-98682-6_1,Aliaume LopezRafał Stefański,2025,https://link.springer.com/chapter/10.1007/978-3-031-98682-6_1,Conference paper
Model Checking for&#xa0;Flexible Network Protocols,Computer Aided Verification,,,,10.1007/978-3-032-32519-8_7,Andrew JohnsonDennis FetterlySean SongJonathan Zolla,2026,https://link.springer.com/chapter/10.1007/978-3-032-32519-8_7,Conference paper
$$\mathbf{{\textsc {PyCaliper}}}$$ : Python-Embedded Infrastructure for&#xa0;RTL Verification and&#xa0;Specification Synthesis,Computer Aided Verification,,,,10.1007/978-3-031-98682-6_21,Adwait GodboleBrian HuffmanFangfei LiuCarlos V RozasSanjit A. Seshia,2025,https://link.springer.com/chapter/10.1007/978-3-031-98682-6_21,Conference paper
Specification and model-checking of space systems in the TASTE toolset,Innovations in Systems and Software Engineering,,,,10.1007/s11334-025-00607-3,Iulia DragomirCarlos RedondoTiago JorgeLaura GouveiaIulian OberMarius BozgaMaxime Perrotin,2025,https://link.springer.com/article/10.1007/s11334-025-00607-3,Article
LLM-Based Scheme for&#xa0;Synthesis of&#xa0;Formal Verification Algorithms,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-75434-0_11,Itay CohenDoron Peled,2025,https://link.springer.com/chapter/10.1007/978-3-031-75434-0_11,Conference paper
A Framework for&#xa0;Formal Probabilistic Risk Assessment Using HOL&#xa0;Theorem Proving,Intelligent Computer Mathematics,,,,10.1007/978-3-031-66997-2_17,Mohamed AbdelghanyAdnan RashidSofiène Tahar,2024,https://link.springer.com/chapter/10.1007/978-3-031-66997-2_17,Conference paper
Liveness Proofs for&#xa0;Hardware Model Checking,Computer Aided Verification,,,,10.1007/978-3-032-32537-2_1,Nils FroleyksEmily YuBart BogaertsArmin BiereKeijo Heljanko,2026,https://link.springer.com/chapter/10.1007/978-3-032-32537-2_1,Conference paper
PyEuclid: A Versatile Formal Plane Geometry System in&#xa0;Python,Computer Aided Verification,,,,10.1007/978-3-031-98685-7_20,Zhaoyu LiHangrui BiJialiang SunZenan LiKaiyu YangXujie Si,2025,https://link.springer.com/chapter/10.1007/978-3-031-98685-7_20,Conference paper
