Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Symbolic execution with abstraction,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-008-0090-1,Saswat AnandCorina S. PăsăreanuWillem Visser,2008,https://link.springer.com/article/10.1007/s10009-008-0090-1,Article
Imperative-program transformation by&#xa0;instrumented-interpreter specialization,Higher-Order and Symbolic Computation,,,,10.1007/s10990-008-9027-3,Søren Debois,2008,https://link.springer.com/article/10.1007/s10990-008-9027-3,Article
Towards Model-Driven Development of Hard Real-Time Systems,Model-Driven Development of Reliable Automotive Services,,,,10.1007/978-3-540-70930-5_10,Christian FerdinandReinhold HeckmannHans-Jörg WolffChristian RenzOleg ParshinReinhard Wilhelm,2008,https://link.springer.com/chapter/10.1007/978-3-540-70930-5_10,Conference paper
Termination Analysis of Java Bytecode,Formal Methods for Open Object-Based Distributed Systems,,,,10.1007/978-3-540-68863-1_2,Elvira AlbertPuri ArenasMichael CodishSamir GenaimGermán PueblaDamiano Zanardini,2008,https://link.springer.com/chapter/10.1007/978-3-540-68863-1_2,Conference paper
Extending Operational Semantics of the Java Bytecode,Trustworthy Global Computing,,,,10.1007/978-3-540-78663-4_6,Patryk CzarnikAleksy Schubert,2008,https://link.springer.com/chapter/10.1007/978-3-540-78663-4_6,Conference paper
An MDE-based method for bridging different design notations,Innovations in Systems and Software Engineering,,,,10.1007/s11334-008-0052-5,Tian ZhangFrédéric JouaultJean BézivinXuandong Li,2008,https://link.springer.com/article/10.1007/s11334-008-0052-5,Article
Toward an understanding of bug fix patterns,Empirical Software Engineering,,,,10.1007/s10664-008-9077-5,Kai PanSunghun KimE. James Whitehead Jr.,2008,https://link.springer.com/article/10.1007/s10664-008-9077-5,Article
Automatic Certification of Java Source Code in Rewriting Logic,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-540-79707-4_15,Mauricio Alba-CastroMaría AlpuenteSantiago Escobar,2008,https://link.springer.com/chapter/10.1007/978-3-540-79707-4_15,Conference paper
Separation Logic Contracts for a Java-Like Language with Fork/Join,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-79980-1_16,Christian HaackClément Hurlin,2008,https://link.springer.com/chapter/10.1007/978-3-540-79980-1_16,Conference paper
Constraint rule-based programming of norms for electronic institutions,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-008-9059-4,Andrés García-CaminoJuan A. Rodríguez-AguilarCarles SierraWamberto Vasconcelos,2008,https://link.springer.com/article/10.1007/s10458-008-9059-4,Article
Automatic Symmetry Detection for Promela,Journal of Automated Reasoning,,,,10.1007/s10817-008-9107-4,Alastair F. DonaldsonAlice Miller,2008,https://link.springer.com/article/10.1007/s10817-008-9107-4,Article
Symbolic Context-Bounded Analysis of Multithreaded Java Programs,Model Checking Software,,,,10.1007/978-3-540-85114-1_19,Dejvuth SuwimonteerabuthJavier EsparzaStefan Schwoon,2008,https://link.springer.com/chapter/10.1007/978-3-540-85114-1_19,Conference paper
Supporting the UML State Machine Diagrams at Runtime,Model Driven Architecture – Foundations and Applications,,,,10.1007/978-3-540-69100-6_23,Franck Barbier,2008,https://link.springer.com/chapter/10.1007/978-3-540-69100-6_23,Conference paper
"Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems",Object-Oriented Technology. ECOOP 2007 Workshop Reader,,,,10.1007/978-3-540-78195-0_6,Olivier ZendraEric JulRoland DucournauEtienne GagnonRichard JonesChandra KrintzPhilippe MuletJan Vitek,2008,https://link.springer.com/chapter/10.1007/978-3-540-78195-0_6,Conference paper
Directed model checking with distance-preserving abstractions,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-008-0092-z,Klaus DrägerBernd FinkbeinerAndreas Podelski,2008,https://link.springer.com/article/10.1007/s10009-008-0092-z,Article
"JWalk: a tool for lazy, systematic testing of java classes by design introspection and user interaction",Automated Software Engineering,,,,10.1007/s10515-007-0015-3,Anthony J. H. Simons,2007,https://link.springer.com/article/10.1007/s10515-007-0015-3,Article
A Numerical Abstract Domain Based on Expression Abstraction and Max Operator with Application in Timing Analysis,Computer Aided Verification,,,,10.1007/978-3-540-70545-1_35,Bhargav S. GulavaniSumit Gulwani,2008,https://link.springer.com/chapter/10.1007/978-3-540-70545-1_35,Conference paper
Navigating the Requirements Jungle,"Leveraging Applications of Formal Methods, Verification and Validation",,,,10.1007/978-3-540-88479-8_25,Boris LangerMichael Tautschnig,2008,https://link.springer.com/chapter/10.1007/978-3-540-88479-8_25,Conference paper
Monitoring and diagnosing software requirements,Automated Software Engineering,,,,10.1007/s10515-008-0042-8,Yiqiao WangSheila A. McIlraithYijun YuJohn Mylopoulos,2008,https://link.springer.com/article/10.1007/s10515-008-0042-8,Article
Incremental Development of a Distributed Real-Time Model of a Cardiac Pacing System Using VDM,FM 2008: Formal Methods,,,,10.1007/978-3-540-68237-0_14,Hugo Daniel MacedoPeter Gorm LarsenJohn Fitzgerald,2008,https://link.springer.com/chapter/10.1007/978-3-540-68237-0_14,Conference paper
Implementing Constructive Intensional Negation,New Generation Computing,,,,10.1007/s00354-008-0053-9,Julio MariñoJuan José Moreno-NavarroSusana Munoz-Hernandez,2008,https://link.springer.com/article/10.1007/s00354-008-0053-9,Article
Verifying Multi-threaded C Programs with SPIN,Model Checking Software,,,,10.1007/978-3-540-85114-1_22,Anna ZaksRajeev Joshi,2008,https://link.springer.com/chapter/10.1007/978-3-540-85114-1_22,Conference paper
2APL: a practical agent programming language,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-008-9036-y,Mehdi Dastani,2008,https://link.springer.com/article/10.1007/s10458-008-9036-y,Article
Tools for support of automata-based programming,Programming and Computer Software,,,,10.1134/S0361768807060059,V. S. GurovM. A. MazinA. S. NarvskyA. A. Shalyto,2007,https://link.springer.com/article/10.1134/S0361768807060059,Article
Bristlecone: A Language for Robust Software Systems,ECOOP 2008 – Object-Oriented Programming,,,,10.1007/978-3-540-70592-5_21,Brian DemskyAlokika Dash,2008,https://link.springer.com/chapter/10.1007/978-3-540-70592-5_21,Conference paper
A Formal Soundness Proof of Region-Based Memory Management for Object-Oriented Paradigm,Formal Methods and Software Engineering,,,,10.1007/978-3-540-88194-0_10,Florin CraciunShengchao QinWei-Ngan Chin,2008,https://link.springer.com/chapter/10.1007/978-3-540-88194-0_10,Conference paper
A Mechanical Analysis of Program Verification Strategies,Journal of Automated Reasoning,,,,10.1007/s10817-008-9098-1,Sandip RayWarren A. Hunt Jr.John MatthewsJ. Strother Moore,2008,https://link.springer.com/article/10.1007/s10817-008-9098-1,Article
Generational Real-Time Garbage Collection,ECOOP 2007 – Object-Oriented Programming,,,,10.1007/978-3-540-73589-2_6,Daniel FramptonDavid F. BaconPerry ChengDavid Grove,2007,https://link.springer.com/chapter/10.1007/978-3-540-73589-2_6,Conference paper
Composing High-Level Plans for Declarative Agent Programming,Declarative Agent Languages and Technologies V,,,,10.1007/978-3-540-77564-5_5,Felipe MeneguzziMichael Luck,2008,https://link.springer.com/chapter/10.1007/978-3-540-77564-5_5,Conference paper
From testing to anti-product development,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-008-0074-1,Markus Warken,2008,https://link.springer.com/article/10.1007/s10009-008-0074-1,Article
Adding Structure to Agent Programming Languages,Programming Multi-Agent Systems,,,,10.1007/978-3-540-79043-3_9,Peter NovákJürgen Dix,2008,https://link.springer.com/chapter/10.1007/978-3-540-79043-3_9,Conference paper
Computing Stack Maps with Interfaces,ECOOP 2008 – Object-Oriented Programming,,,,10.1007/978-3-540-70592-5_27,Frédéric BessonThomas JensenTiphaine Turpin,2008,https://link.springer.com/chapter/10.1007/978-3-540-70592-5_27,Conference paper
Static Analysis Via Abstract Interpretation of the Happens-Before Memory Model,Tests and Proofs,,,,10.1007/978-3-540-79124-9_9,Pietro Ferrara,2008,https://link.springer.com/chapter/10.1007/978-3-540-79124-9_9,Conference paper
UML behavioral consistency checking using instantiable Petri nets,Innovations in Systems and Software Engineering,,,,10.1007/s11334-008-0065-0,Yann Thierry-MiegLom-Messan Hillah,2008,https://link.springer.com/article/10.1007/s11334-008-0065-0,Article
Proving operational termination of membership equational programs,Higher-Order and Symbolic Computation,,,,10.1007/s10990-008-9028-2,Francisco DuránSalvador LucasClaude MarchéJosé MeseguerXavier Urbain,2008,https://link.springer.com/article/10.1007/s10990-008-9028-2,Article
Runtime Checking for Separation Logic,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-540-78163-9_19,Huu Hai NguyenViktor KuncakWei-Ngan Chin,2008,https://link.springer.com/chapter/10.1007/978-3-540-78163-9_19,Conference paper
Generation of correctness conditions for imperative programs,Programming and Computer Software,,,,10.1134/S0361768808060029,N. V. ShilovI. S. AnureevE. V. Bodin,2008,https://link.springer.com/article/10.1134/S0361768808060029,Article
