Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Containers for specification in SPARK,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00789-y,Claire Dross,2025,https://link.springer.com/article/10.1007/s10009-025-00789-y,Article
Two-Way Collaboration Between Flow and&#xa0;Proof in&#xa0;SPARK,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-031-82700-6_8,Claire DrossJoffrey HuguetJohannes Kanig,2025,https://link.springer.com/chapter/10.1007/978-3-031-82700-6_8,Conference paper
Simulation Testing of&#xa0;Autonomous Driving Systems Based on&#xa0;Safety-Critical Scenario Generation,Engineering Trustworthy Software Systems,,,,10.1007/978-981-95-8617-2_2,Guangdong YouShuncheng TangJixiang ZhouJingjing HaoYiding HuaYanxin NieYinxing Xue,2026,https://link.springer.com/chapter/10.1007/978-981-95-8617-2_2,Conference paper
Proof Engineering in&#xa0;Logika: Synergistically Integrating Automated and&#xa0;Semi-automated Program Verification,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-032-00942-5_3,Stefan HallerstedeRobbyJohn HatcliffJason BeltDavid Hardin,2026,https://link.springer.com/chapter/10.1007/978-3-032-00942-5_3,Conference paper
Formal Runtime Verification of&#xa0;Avionics Systems Using Level-D Flight Simulator Data and&#xa0;NASA/JPL’s F Prime,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_26,Maria C. Moreno,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_26,Conference paper
From Zonotopes to&#xa0;Proof Certificates: A Formal Pipeline for&#xa0;Safe Control Envelopes,Integrated Formal Methods,,,,10.1007/978-3-032-10794-7_13,Jonathan HellwigLukas SchäferLong QianAndré PlatzerMatthias Althoff,2026,https://link.springer.com/chapter/10.1007/978-3-032-10794-7_13,Conference paper
Towards an&#xa0;End-to-End Toolchain for&#xa0;Traceable and&#xa0;Verifiable Railway Signalling Specifications,Rigorous State-Based Methods,,,,10.1007/978-3-031-94533-5_19,Frederic ReiterRoman WetenkampRobert SchmidRichard KretzschmarLukas Iffländer,2026,https://link.springer.com/chapter/10.1007/978-3-031-94533-5_19,Conference paper
Automated property-based testing from AADL component contracts,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00792-3,John HatcliffJason BeltRobbyJacob LeggDanielle StewartTodd Carpenter,2025,https://link.springer.com/article/10.1007/s10009-025-00792-3,Article
Let’s read the log: root cause analysis of railway test execution logs with large language models,Innovations in Systems and Software Engineering,,,,10.1007/s11334-026-00657-1,Rahmanu HermawanAlessio BucaioniEduard EnoiuWasif AfzalMehrdad SaadatmandNedim ZaimovicMd Saleh Ibtasham,2026,https://link.springer.com/article/10.1007/s11334-026-00657-1,Article
Logika: the Sireum verification framework,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00828-8,RobbyJohn HatcliffJason Belt,2025,https://link.springer.com/article/10.1007/s10009-025-00828-8,Article
Safety Evaluation for Large Language Models with Metamorphic Testing: An Empirical Study,Journal of Computer Science and Technology,,,,10.1007/s11390-026-5705-z,Ying XingJia-Qi HuangHai-Jiao ZhaoLong ZhangWen-Jin Li,2026,https://link.springer.com/article/10.1007/s11390-026-5705-z,Article
Analyses as First-Class Citizens in Model-Driven Development,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-032-22774-4_10,Tianhai LiuShmuel TyszberowiczBernhard Beckert,2026,https://link.springer.com/chapter/10.1007/978-3-032-22774-4_10,Conference paper
Perception with&#xa0;Guarantees: Certified Pose Estimation via&#xa0;Reachability Analysis,Computer Aided Verification,,,,10.1007/978-3-032-32537-2_23,Tobias LadnerYasser ShoukryMatthias Althoff,2026,https://link.springer.com/chapter/10.1007/978-3-032-32537-2_23,Conference paper
End-to-End Formal Methods Integrated Development with&#xa0;SysMLv2 Using HAMR,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-032-00942-5_13,John HatcliffJason BeltRobbyClint McKenzieCatalina Liang,2026,https://link.springer.com/chapter/10.1007/978-3-032-00942-5_13,Conference paper
Synchronous System Design with&#xa0;Quantitative Types,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-981-95-7826-9_2,Rui ChenIngo Sander,2026,https://link.springer.com/chapter/10.1007/978-981-95-7826-9_2,Conference paper
Certification of avionic software based on machine learning: the case for formal monotony analysis,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-024-00741-6,Mélanie DucoffeChristophe GabreauIleana OberIulian OberEric Guillaume Vidot,2024,https://link.springer.com/article/10.1007/s10009-024-00741-6,Article
Formal Verification of&#xa0;Healthcare Computer Network Architectures Using Alloy and&#xa0;TLA $$^{+}$$,Rigorous State-Based Methods,,,,10.1007/978-3-032-26752-8_3,Daniel DaukševičLinas Laibinis,2026,https://link.springer.com/chapter/10.1007/978-3-032-26752-8_3,Conference paper
Towards Formal Verification of&#xa0;Hybrid Synchronous Programs with&#xa0;Refinement Types,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_21,Serra Z. DaneJiawei ChenMarc PouzetJean-Baptiste Jeannin,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_21,Conference paper
<i>m</i>LLM-CRD: multi-modal LLM based context-aware rule detection using LoRA-integrated attention for worker safety monitoring,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-026-00572-2,Jaehoon LimYeonkyu KwakJieun LeeTae-yong KimJongpil Jeong,2026,https://link.springer.com/article/10.1007/s44443-026-00572-2,Article
Failure behavior modeling via atomic modeling concepts,Software and Systems Modeling,,,,10.1007/s10270-026-01377-7,Stefan KaalenMattias NybergAdrian Westerberg,2026,https://link.springer.com/article/10.1007/s10270-026-01377-7,Article
